"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ3-EBTAL19A","23 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.33,95.37,97.62,19.83,259.00,0.00,83.00,2.00,0.08,0.00,40.25,247.00
,"24 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.33,98.53,97.77,25.45,272.00,1.00,114.00,2.00,0.22,0.00,39.78,268.00
,"25 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.62,97.32,97.31,26.54,411.00,0.00,133.00,2.00,0.24,0.00,45.55,400.00
,"26 Feb 23","404-2-2010-60191",0.00,0.49,0.00,0.29,98.27,97.27,18.83,173.00,1.00,110.00,2.00,0.09,0.00,24.64,170.00
,"27 Feb 23","404-2-2010-60191",0.00,0.48,0.00,0.60,97.69,96.06,25.62,346.00,0.00,112.00,2.00,0.00,0.00,45.00,338.00
"ZTE-PJ3-EBTAL19B","23 Feb 23","404-2-2010-60192",0.00,0.73,0.00,0.78,98.61,96.99,31.42,790.00,0.00,137.00,2.00,0.38,0.00,60.92,779.00
,"24 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.78,98.58,96.37,41.23,1055.00,1.00,99.00,2.00,0.12,0.00,60.36,1040.00
,"25 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.12,98.97,96.07,33.59,584.00,2.00,78.00,2.00,0.21,0.00,44.84,578.00
,"26 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.19,99.26,95.28,34.39,543.00,1.00,89.00,2.00,0.21,0.00,50.88,539.00
,"27 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.57,97.55,96.15,35.17,449.00,1.00,84.00,2.00,0.00,0.00,58.80,438.00
