Short name,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
ZTE-PJ3-EBTAL19C,26-Feb-23,404-2-2010-60193,0,0.61,0,0,99.17,98.38,46.46,120,0,137,3,0,0,69.69,119
,27-Feb-23,404-2-2010-60193,0,0,0,0,97.32,98.35,45.18,149,0,164,3,0.18,0,59.5,145
,28-Feb-23,404-2-2010-60193,0,0,0,0,99.36,98.67,43.75,156,0,122,3,0.18,0,57.63,155
,1-Mar-23,404-2-2010-60193,0,0,0,0,95.71,98.37,45.21,140,0,177,3,0,0,60.19,134
,2-Mar-23,404-2-2010-60193,0,0,0,0,100,98.42,47.52,124,0,123,3,19.69,0,60.11,124
ZTE-PJ4-ZDKLH39A,26-Feb-23,404-2-2708-64391,0,0.16,0,0.58,96,96.09,50.98,25,0,105,2,0.36,0,82.74,24
,27-Feb-23,404-2-2708-64391,0,0.49,0,0.36,96.88,96.79,50.5,32,0,99,2,0,0,69.31,31
,28-Feb-23,404-2-2708-64391,0,0.31,0,0.36,92.68,97.23,60.38,41,0,134,2,0,0,95.78,38
,1-Mar-23,404-2-2708-64391,0,0.31,0,0,87.5,97.21,56.31,40,0,120,2,0,0,81.23,35
,2-Mar-23,404-2-2708-64391,0,0.19,0,0,94.34,96.96,63.76,53,1,123,2,0,0,95.2,50
ZTE-PJ4-ZDKLH39B,26-Feb-23,404-2-2708-64392,0,0.8,0,0.91,98.59,96.96,49.8,71,0,114,2,0,0,76.17,70
,27-Feb-23,404-2-2708-64392,0,0.42,0,0.26,96.55,96.61,58.81,58,1,69,2,0,0,90.15,56
,28-Feb-23,404-2-2708-64392,0,1.51,0,0.48,97.18,96.96,53.22,71,0,151,2,0,0,79.42,69
,1-Mar-23,404-2-2708-64392,0,0.55,0,0.48,91.67,96.07,48.31,48,5,125,2,0,0,65.81,44
,2-Mar-23,404-2-2708-64392,0,1.25,0,1.82,92.86,96.46,48.71,84,0,113,2,0,0,69.95,78
ZTE-PJ4-ZDKLH39C,26-Feb-23,404-2-2708-64393,0,0,0,0.37,100,98.39,37.72,25,0,87,2,0,0,90.43,25
,27-Feb-23,404-2-2708-64393,0,0,0,0,100,98.29,41.04,38,0,57,2,0,0,64.43,38
,28-Feb-23,404-2-2708-64393,0,0,0,0,100,98.44,40.42,34,1,102,2,0,0,72.14,34
,1-Mar-23,404-2-2708-64393,0,0,0,0.33,81.25,98.29,37.91,16,0,83,2,0.27,0,77.9,13
,2-Mar-23,404-2-2708-64393,0,0,0,0.33,95.45,98.02,40.16,44,0,52,2,0.08,0,55.54,42
ZTE-PJ4-ZPLKS01A,26-Feb-23,404-2-2066-28011,0,2.04,0.37,1.34,92.59,89.8,95.5,54,5,266,2,3.88,0,167.1,50
,27-Feb-23,404-2-2066-28011,0,1.12,2.17,1.83,91.67,90.18,98.44,36,7,301,2,9.87,0,140.23,33
,28-Feb-23,404-2-2066-28011,0,0.86,0,2.07,95.83,88.99,104.55,48,1,132,2,3.09,0,137.99,46
,1-Mar-23,404-2-2066-28011,0,1.45,0,1.65,98.48,89.97,126.85,66,2,283,2,7.91,0,165.73,65
,2-Mar-23,404-2-2066-28011,0,1.63,2.61,1.26,91.49,90.61,97.95,47,19,293,2,10.27,226,176.21,43
ZTE-PJ4-ZPLKS01B,26-Feb-23,404-2-2066-28012,0,1.04,2.94,1.05,92.68,97.37,39.76,41,1,130,2,1.39,0,330.25,38
,27-Feb-23,404-2-2066-28012,0,0.94,7.61,0.85,86.36,97.2,51.95,88,2,169,2,0,0,442.61,76
,28-Feb-23,404-2-2066-28012,0,1.64,9.94,1.07,94.52,97.22,48.06,73,1,152,2,0,0,431.79,69
,1-Mar-23,404-2-2066-28012,0,1.13,17.24,0.87,92.66,96.79,50.85,109,1,165,2,0.55,0,438.25,101
,2-Mar-23,404-2-2066-28012,0,1.72,3.11,0.82,95.5,97.33,47.43,111,3,155,2,0,0,395.38,106
ZTE-PJ4-ZPLKS01C,26-Feb-23,404-2-2066-28013,0,0.63,0,3.62,93.94,94.72,44.51,33,0,63,2,0.27,0,70.89,31
,27-Feb-23,404-2-2066-28013,0,1.24,0,2.74,77.01,95.25,44.19,87,6,104,2,0.54,0,77.01,67
,28-Feb-23,404-2-2066-28013,0,1.61,0,4.2,98.04,93.48,44.87,51,1,116,2,0,0,57.3,50
,1-Mar-23,404-2-2066-28013,0,1.62,0,2.21,95.77,92.6,46.28,71,2,103,2,0,0,71.77,68
,2-Mar-23,404-2-2066-28013,0,1.67,0,2.86,83.33,90.79,46.05,54,3,85,2,0,0,71.21,45
ZTE-PJ4-ZPLKS01D,26-Feb-23,404-2-2066-28014,0,,,0,,99.94,0.11,0,0,0,2,0,0,0.99,0
,27-Feb-23,404-2-2066-28014,0,0,0,0,,99.94,0.56,0,0,4,2,0,0,3.05,0
,28-Feb-23,404-2-2066-28014,0,0,0,0,,100,0.7,0,0,1,2,0,0,3.44,0
,1-Mar-23,404-2-2066-28014,0,0,0,0,,100,0.76,0,0,14,2,0.05,0,2.94,0
,2-Mar-23,404-2-2066-28014,0,0,0,0,100,100,1.01,1,0,11,2,0.05,0,2.82,1
ZTE-PJ4-ZPLKS01E,26-Feb-23,404-2-2066-28015,0,0,0,0,,99.57,8.86,0,0,47,2,0,0,26.43,0
,27-Feb-23,404-2-2066-28015,0,0,0,0,100,99.83,16.58,6,0,91,2,0.9,0,38.09,6
,28-Feb-23,404-2-2066-28015,0,0,0,0,100,99.83,26.07,8,0,83,2,1.26,0,51.75,8
,1-Mar-23,404-2-2066-28015,0,0.65,0,0,100,99.85,23.29,10,0,77,2,1.21,0,38.02,10
,2-Mar-23,404-2-2066-28015,0,0,0,0,100,99.78,21.88,14,0,96,2,0.7,0,37.7,14
