"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ3-EBTAL19A","17 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"18 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"19 Feb 23","404-2-2010-60191",0.00,0.00,0.00,,97.30,,14.47,185.00,0.00,75.00,2.00,0.10,0.00,26.57,180.00
,"20 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.00,99.04,98.58,27.36,415.00,0.00,157.00,2.00,0.12,0.00,55.35,411.00
,"21 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.00,98.32,97.91,27.53,417.00,0.00,89.00,2.00,0.50,0.00,43.60,410.00
"ZTE-PJ3-EBTAL19B","17 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"18 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"19 Feb 23","404-2-2010-60192",0.00,0.33,0.00,,96.84,,38.14,538.00,0.00,139.00,2.00,0.54,0.00,58.03,521.00
,"20 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.00,99.19,95.17,37.68,492.00,0.00,111.00,2.00,0.00,0.00,50.89,488.00
,"21 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.00,98.88,95.84,38.52,535.00,0.00,152.00,2.00,0.00,0.00,66.19,529.00
"ZTE-PJ3-EBTAL19C","17 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"18 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"19 Feb 23","404-2-2010-60193",0.00,0.00,0.00,,100.00,,40.07,103.00,0.00,135.00,3.00,0.74,0.00,54.14,103.00
,"20 Feb 23","404-2-2010-60193",0.00,0.00,0.00,0.00,98.47,98.36,47.44,131.00,0.00,173.00,3.00,1.74,0.00,60.45,129.00
,"21 Feb 23","404-2-2010-60193",0.00,0.23,0.00,0.00,97.52,97.99,50.95,161.00,1.00,205.00,3.00,0.00,0.00,66.08,157.00
"ZTE-PJ3-ZBTAL19A","17 Feb 23","404-2-2010-60191",0.00,0.51,0.00,0.32,99.69,97.64,24.35,320.00,0.00,100.00,2.00,0.35,0.00,34.61,319.00
,"18 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.00,97.99,96.74,24.31,249.00,0.00,106.00,2.00,0.53,0.00,43.56,244.00
,"19 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.00,100.00,97.10,1.65,135.00,0.00,72.00,2.00,0.00,0.00,14.24,135.00
,"20 Feb 23","404-2-2010-60191",,,,0.00,,97.14,,,,,,,,,
,"21 Feb 23","404-2-2010-60191",,,,0.00,,98.05,,,,,,,,,
"ZTE-PJ3-ZBTAL19B","17 Feb 23","404-2-2010-60192",0.00,0.44,0.00,0.26,99.56,96.21,39.76,456.00,0.00,108.00,2.00,0.22,0.00,62.90,454.00
,"18 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.26,97.95,97.04,37.11,439.00,1.00,112.00,2.00,0.00,0.00,55.04,430.00
,"19 Feb 23","404-2-2010-60192",0.00,0.62,0.00,0.30,98.99,97.11,2.94,199.00,1.00,61.00,2.00,0.23,0.00,18.95,197.00
