"Short name",,"4G_ECGI","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","TA Sampls > 1.5 Km % [CDBH]","VoLTE Packet Loss DL_Nom [CBBH]","VoLTE Packet Loss UL_Nom [CBBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE IntraF HOSR Exec_DENOM [CBBH]","VoLTE IntraF HOSR Exec_NOM [CBBH]","VoLTE InterF HOSR Exec_DENOM [CBBH]","VoLTE InterF HOSR Exec_NOM [CBBH]"
,"4 Mar 23","404-02-912173-23",99.96,99.96,0.03,2156.67,13336.33,9.98,100.00,99.90,100.00,0.00,35.12,100.00,0.00,0.01,0.02,,,100.00,100.00,0.00,-119.41,36.5797,55.22,0.00,76.00,9.47,0.00,,,259.00,259.00,2051.00,2053.00,38.00,38.00,13.00,13.00
"PB_E_F3_OM_CHD670A_A_FDD","28 Feb 23","404-02-914670-21",99.93,99.95,0.07,883.47,1751.20,7.60,99.88,99.52,100.00,0.00,87.24,100.00,0.00,0.02,0.08,,,99.71,100.00,0.00,-115.59,100.7701,131.31,0.00,271.00,27.34,0.04,,,813.00,814.00,4602.00,4624.00,341.00,340.00,342.00,342.00
,"1 Mar 23","404-02-914670-21",100.00,100.00,0.07,1184.19,5473.85,8.23,100.00,99.82,100.00,0.00,71.66,100.00,0.00,0.01,0.06,,,100.00,99.53,0.00,-115.99,98.5346,122.46,0.00,305.00,22.25,0.00,,,423.00,423.00,3351.00,3357.00,343.00,343.00,213.00,212.00
,"2 Mar 23","404-02-914670-21",99.99,99.96,0.03,1076.67,2785.06,8.29,100.00,99.63,0.00,0.00,86.36,100.00,0.00,0.01,0.35,,,100.00,100.00,0.00,-115.88,107.1121,125.05,0.00,334.00,29.01,0.01,,,461.00,461.00,3759.00,3773.00,509.00,509.00,265.00,265.00
,"3 Mar 23","404-02-914670-21",99.94,99.99,0.04,668.03,2047.07,8.55,100.00,99.61,100.00,0.00,78.15,99.68,0.00,0.02,0.11,,,99.68,98.96,0.00,-116.14,102.9661,126.60,0.00,333.00,32.30,0.00,,,1380.00,1380.00,5166.00,5186.00,631.00,629.00,289.00,286.00
,"4 Mar 23","404-02-914670-21",99.99,100.00,0.03,1185.00,3514.87,8.26,99.85,99.69,0.00,0.00,83.06,99.67,0.24,0.02,0.13,,,100.00,99.67,0.00,-116.18,105.1057,122.21,0.00,322.00,20.76,0.04,,,673.00,674.00,3511.00,3522.00,458.00,458.00,306.00,305.00
"PB_E_F3_OM_CHD670B_B_FDD","28 Feb 23","404-02-914670-22",99.94,99.98,0.07,1924.79,3211.08,7.83,99.75,99.85,100.00,0.00,78.74,100.00,0.59,0.00,0.09,,,100.00,100.00,0.00,-117.12,68.7245,105.80,0.00,107.00,29.47,0.00,,,405.00,406.00,3369.00,3374.00,184.00,184.00,51.00,51.00
,"1 Mar 23","404-02-914670-22",99.98,99.98,0.04,1118.83,2895.29,8.69,100.00,99.82,100.00,0.00,69.84,100.00,0.00,0.01,0.09,,,99.79,99.46,0.00,-117.27,68.5360,104.37,0.00,215.00,25.02,0.00,,,709.00,709.00,3864.00,3871.00,469.00,468.00,185.00,184.00
,"2 Mar 23","404-02-914670-22",100.00,99.98,0.02,2286.45,11583.64,9.57,99.76,100.00,100.00,0.00,46.94,100.00,0.00,0.00,0.04,,,100.00,100.00,0.00,-117.16,67.8342,113.70,0.00,261.00,12.85,0.00,,,419.00,420.00,2886.00,2886.00,308.00,308.00,76.00,76.00
,"3 Mar 23","404-02-914670-22",99.90,99.95,0.07,1039.30,3534.04,8.04,100.00,99.84,100.00,0.00,74.45,100.00,0.29,0.02,0.06,,,100.00,100.00,0.00,-117.19,61.6256,98.40,0.00,227.00,14.33,0.00,,,398.00,398.00,4397.00,4404.00,361.00,361.00,90.00,90.00
