Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
PB_E_T2_HS_UCH538A_A,23-Apr-23,404-02-700538-11,99.74,99.45,,8493.39,376.36,97.78,89.47,100,9.06,52.35,100,0,0.01,0.01,,100,100,-98.6,37.34,14.05,94.9
,24-Apr-23,404-02-700538-11,99.75,98.81,,8662.23,403.83,98.73,100,100,8.35,40.62,100,0,0.21,0.11,,100,100,-99.35,32.26,12.74,100
,25-Apr-23,404-02-700538-11,99.87,99.6,,10277.75,388.34,98.97,87.5,100,9.05,34.2,100,0,0.02,0.02,,100,100,-103.21,35.54,14.11,100
,26-Apr-23,404-02-700538-11,99.94,98.83,,7396,285.54,97.7,91.67,100,8.64,55.4,100,2.17,0.08,0.05,,95,95,-99.81,36.73,15.17,100
,27-Apr-23,404-02-700538-11,99.8,99.52,,5822.26,374.24,100,100,100,8.83,47.73,100,0,0.08,0.04,,100,100,-98.81,36.41,18.39,100
PB_E_T2_HS_UCH538B_B,23-Apr-23,404-02-700538-12,99.31,100,,10179.22,258.26,100,100,,10.37,37.92,100,0,0.01,0.01,,100,100,-99.98,35.48,15.83,94.9
,24-Apr-23,404-02-700538-12,99.94,99.56,,8437.49,522.5,100,95.65,100,10.14,40.12,100,0,0.05,0.02,,100,100,-100.16,35.69,17.05,100
,25-Apr-23,404-02-700538-12,100,99.81,,9437.96,408.89,98.7,100,,10.22,42.9,100,0,0.09,0.01,,100,100,-99.67,42.06,24.5,100
,26-Apr-23,404-02-700538-12,99.69,98.46,,6944.15,506.31,98.25,100,100,10.74,45.3,100,0,0.06,0.01,,100,100,-100.69,36.49,17.4,100
,27-Apr-23,404-02-700538-12,99.95,99.95,,6621.82,493.63,100,100,,10.6,44.05,100,0,0,0.01,,100,100,-99.26,35.4,22.67,100
PB_E_T2_HS_UCH538C_C,23-Apr-23,404-02-700538-13,99.71,99.83,,2088.01,188.5,97.32,98.66,100,8.43,95.22,100,0,0.02,0.03,,100,100,-102.5,125.26,52.52,94.9
,24-Apr-23,404-02-700538-13,99.75,99.42,,1498.28,167.33,97.66,100,100,8.6,97.05,100,0,0.03,0.03,,100,100,-101.92,119.52,47.19,100
,25-Apr-23,404-02-700538-13,99.62,99.65,,868.21,95.93,95.15,100,100,8.09,99.33,100,0.47,0.03,0.1,,98.97,98.86,-102.01,122.09,47.51,100
,26-Apr-23,404-02-700538-13,99.16,97.64,,1308.04,121.9,75.97,100,100,8.61,95.5,100,0,0.08,0.05,,99.59,100,-102.11,129.66,44.25,100
,27-Apr-23,404-02-700538-13,99.73,99.75,,1403.06,164.81,89.06,98.1,100,8.33,94.75,100,0,0.12,0.02,,100,100,-102.67,128.93,51.2,100
PB_E_T2_HS_UFD003A_A,23-Apr-23,404-02-703003-11,99.97,99.98,,13127.73,383.6,94.17,95.3,88.89,9.97,41.38,101.02,0,0.06,0.03,,100,100,-106.01,62.71,26.34,100
,24-Apr-23,404-02-703003-11,99.94,99.81,,10429.24,385.66,87.5,88.89,100,9.75,57.27,100,0,0.02,0.02,,100,100,-105.48,63.27,26.76,100
,25-Apr-23,404-02-703003-11,99.97,99.75,,14363.1,309.23,94.9,89.6,100,10.02,42.73,100,0,0.01,0.02,,100,100,-103.07,74.83,26.56,100
,26-Apr-23,404-02-703003-11,99.96,99.78,,15449.45,312.31,95.71,95,100,10.09,41.38,100,0,0.05,0.02,,100,100,-104.87,64.24,28.8,100
,27-Apr-23,404-02-703003-11,99.96,99.65,,13556.26,384.92,90.57,90.11,100,10.32,47.35,100,0,0.02,0.02,,100,100,-105.05,65.95,26.99,100
PB_E_T2_HS_UFD003B_B,23-Apr-23,404-02-703003-12,99.92,99.95,,4695.54,272.21,66.56,95.36,100,8.81,72.3,100,0,0.05,1.49,,98.48,98.36,-109.21,73.88,32.21,100
,24-Apr-23,404-02-703003-12,99.92,99.94,,6313.69,338,67.47,94.88,100,8.54,61.75,99.19,0,0.14,0.12,,97.22,98.41,-108.71,64.92,28.48,100
,25-Apr-23,404-02-703003-12,99.85,99.71,,4768.16,417.14,61.58,95.26,100,8.58,69.25,100,0,0.06,0.05,,97.59,98.61,-106.74,73.9,29.35,100
,26-Apr-23,404-02-703003-12,99.87,99.81,,3764.65,262.97,67.28,94.28,100,8.26,82.28,99.47,0,0.07,0.02,,100,100,-108.52,67.2,32.14,100
,27-Apr-23,404-02-703003-12,99.86,99.88,,3392.5,270.97,78.96,94.49,100,7.99,77.17,99.21,0,0.12,0.35,,93.85,98.21,-109.87,70.64,24.29,100
PB_E_T2_HS_UFD009A_A,23-Apr-23,404-02-706009-11,99.88,99.14,,11207.91,239.16,98.65,97.83,100,9.3,41,97.98,0,0.13,0.04,,98.53,100,-109.09,42.86,16.99,94.79
,24-Apr-23,404-02-706009-11,99.93,99.86,,10298.77,185.88,98.18,97.18,100,9.73,48.6,100,0,0.1,0.02,,100,100,-107.32,43.43,17.77,96.88
,25-Apr-23,404-02-706009-11,99.79,99.51,,8029.57,128.56,98.61,96.2,100,9.67,37.08,98.86,0,0.01,0.01,,95.56,95.35,-106.69,38.42,18.99,94.79
,26-Apr-23,404-02-706009-11,99.44,99.72,,8217.16,167.87,97.73,98.39,,8.77,48.2,99.3,0,0.03,0.01,,96.08,95,-105.18,37.98,23.97,100
,27-Apr-23,404-02-706009-11,99.82,100,,10195.29,316.07,98.98,97.98,100,8.8,43.95,100,0,0.08,0.18,,100,100,-106.2,47.22,16.47,100
PB_E_T2_HS_UFD009B_B,23-Apr-23,404-02-706009-12,99.71,99.74,,8532.9,188.46,100,98.7,100,9.88,62.4,100,0,0.03,0.06,,100,100,-104.13,69.11,34.19,94.79
,24-Apr-23,404-02-706009-12,99.61,99.21,,6479.97,158.75,98.68,93.98,100,9.85,64.42,100,0,0.07,0.02,,94.29,95.83,-104.04,73.71,31.65,96.88
,25-Apr-23,404-02-706009-12,99.37,99.16,,11013.65,133.86,98.63,91.67,100,10.41,50.08,100,0,0.05,0.01,,100,100,-102.82,63.75,37.73,94.79
,26-Apr-23,404-02-706009-12,99.37,99.59,,8561.91,103.82,100,100,100,10,56.62,99.45,0,0.12,0.04,,97.5,96.3,-101.96,65.17,40.21,100
,27-Apr-23,404-02-706009-12,99.69,99.79,,6685.85,117.7,98.2,95.35,100,9.5,68.53,100,0,0.04,0.27,,100,100,-102.62,83.21,39.73,100
PB_E_T2_HS_UFD009C_C,23-Apr-23,404-02-706009-13,99.84,99.87,,5336.72,100.31,96.43,99.33,100,8.1,69.97,100,0,0.09,0.03,,100,100,-110.93,67.83,12,94.79
,24-Apr-23,404-02-706009-13,99.74,99.82,,6318.01,127.3,100,97.49,100,8.04,55.38,100,0,0.09,0.03,,99.12,100,-110.76,60.34,13.47,96.88
,25-Apr-23,404-02-706009-13,98.63,99.63,,4349.51,43.29,95.45,97.67,100,7.71,57.62,100,0,0.07,0.14,,100,100,-111.36,50.81,13.93,94.79
,26-Apr-23,404-02-706009-13,99.87,99.96,,7118.18,138.94,98.94,98.55,100,8.44,44.5,100,0,0.16,0.13,,98.96,98.9,-111.19,53.52,14.62,100
,27-Apr-23,404-02-706009-13,99.69,99.91,,2719.35,93.75,82.05,96.66,100,7.44,85.28,100,0,0.09,0.05,,100,100,-111.2,73.62,14.17,100
PB_E_T2_HS_UFD013A_A,23-Apr-23,404-02-707013-11,100,100,,5523.35,368.06,100,100,,7.52,67.62,100,0,0.16,0.12,,100,100,-102.54,57.38,11.98,100
,24-Apr-23,404-02-707013-11,100,100,,2244.55,459.52,96,100,100,7.01,93.25,100,0,0.05,0.01,,100,100,-104.33,76.24,19.39,100
,25-Apr-23,404-02-707013-11,100,99.89,,1895.64,560.98,95.24,100,100,6.83,90.08,100,0,0.18,0.01,,100,100,-104.14,67.12,16.42,87.46
,26-Apr-23,404-02-707013-11,100,99.81,,16556.3,302.65,100,100,100,10.38,32.55,100,2.33,0.01,0.01,,100,100,-103.34,57.32,16.06,100
,27-Apr-23,404-02-707013-11,99.94,99.88,,5117.4,688.96,95.95,100,100,7.63,68.97,100,0,0.01,0.02,,100,100,-104.2,66.33,11.78,100
PB_E_T2_HS_UFD013B_B,23-Apr-23,404-02-707013-12,100,99.94,,12171.71,474.05,100,96.3,100,9.07,67.38,100,0,0.03,0.01,,100,100,-100.65,59.8,22.63,100
,24-Apr-23,404-02-707013-12,99.87,99.89,,3689.53,541.52,100,98.75,100,6.97,76.75,100,0,0.16,0.11,,100,100,-102.58,48.21,19.83,100
,25-Apr-23,404-02-707013-12,99.83,99.8,,3454.34,477.66,98.46,100,100,7.15,72.8,100,0,0.07,0.04,,100,100,-105.47,39.49,15.58,87.46
,26-Apr-23,404-02-707013-12,99.96,99.95,,8749.51,469.65,100,100,100,8.29,46.77,100,0,0.09,0.01,,100,100,-102.66,41.3,16.61,100
,27-Apr-23,404-02-707013-12,99.95,99.91,,4629.27,601.55,100,96.97,100,7.63,64.35,98.18,0,0.06,0.01,,100,100,-101.68,47.21,19.34,100
PB_E_T2_HS_UFD013C_C,23-Apr-23,404-02-707013-13,100,99.71,,7099.74,469.32,97.44,100,100,8.26,54.42,100,0,0.01,0.02,,100,100,-103.08,42.37,10.33,100
,24-Apr-23,404-02-707013-13,100,99.73,,8703.48,1192.56,94.74,100,100,9.16,41.38,100,0,0.04,0,,100,100,-101.25,41.25,12.75,100
,25-Apr-23,404-02-707013-13,99.92,100,,7636.34,710.4,100,100,100,8.85,47.5,100,0,0.02,0.01,,100,100,-101.91,32.75,9.73,87.46
,26-Apr-23,404-02-707013-13,100,99.85,,12089.14,610.17,100,100,100,9.08,36.98,100,0,0,0,,100,100,-99.65,35.2,13.68,100
,27-Apr-23,404-02-707013-13,100,100,,7303.02,441.15,100,100,100,8.59,68.08,100,0,0,0.01,,100,100,-102.07,43.72,14.56,100
PB_E_T2_HS_UFD014A_A,23-Apr-23,404-02-705214-11,99.92,99.96,,6748.9,404.13,100,99.15,100,8.54,62.62,100,0,0.02,0.04,,100,100,-107.63,37.39,12.61,100
,24-Apr-23,404-02-705214-11,99.88,99.97,,4711.75,257.2,100,100,100,8.68,70.7,100,0,0.09,0.02,,100,100,-106.24,56.54,18.99,100
,25-Apr-23,404-02-705214-11,99.89,99.86,,3689,259.29,94.87,100,100,8.59,86.12,100,0,0.24,0.08,,100,100,-105.87,57.18,24.13,100
,26-Apr-23,404-02-705214-11,100,99.88,,10934.38,272.8,96,100,100,9.09,48.73,100,0,0.02,0.04,,98.15,97.3,-106.17,50.2,24.49,100
,27-Apr-23,404-02-705214-11,99.91,99.85,,7019.46,326.46,100,100,100,8.76,68.62,99.37,0,0.06,0.07,,100,100,-107.66,60.46,21.35,100
PB_E_T2_HS_UFD014B_B,23-Apr-23,404-02-705214-12,99.96,99.87,,8000.37,185.25,100,100,,8.36,53.92,100,0,0.17,0.25,,100,100,-110.16,66.76,16.43,100
,24-Apr-23,404-02-705214-12,99.92,99.96,,9948.9,284.58,100,100,100,8.37,53.15,100,0,0.02,0.02,,100,100,-107.22,57.21,15.59,100
,25-Apr-23,404-02-705214-12,99.9,99.85,,15700,163.99,100,100,100,8.8,39.6,100,0,0.07,0.08,,100,100,-109.56,58.16,20.19,100
,26-Apr-23,404-02-705214-12,100,99.86,,10052.26,575.35,100,100,,8.51,49.73,100,0,0.34,0.46,,100,100,-110.12,66.34,20.8,100
,27-Apr-23,404-02-705214-12,100,99.95,,5210.78,234.76,100,100,100,7.72,67.85,100,0,0.06,0.17,,100,100,-108.38,57.95,19.2,100
PB_E_T2_HS_UFD014C_C,23-Apr-23,404-02-705214-13,100,99.97,,8043.51,511.71,93.75,100,,10.14,92.05,100,0,0.01,0.03,,100,100,-107.36,127.09,32.03,100
,24-Apr-23,404-02-705214-13,99.98,99.92,,3118.5,329.31,98.39,100,100,9,89.17,100,0,0.04,0.03,,100,100,-105.88,122.85,49.46,100
,25-Apr-23,404-02-705214-13,99.76,99.93,,1496.97,158.98,97.96,97.8,100,8.3,99.12,99.68,0,0.17,0.15,,100,100,-108.64,134.88,70.54,100
,26-Apr-23,404-02-705214-13,99.96,99.91,,2776.78,303.82,100,100,100,8.76,93.45,100,0,0.06,0.13,,100,100,-107.11,138.95,64.16,100
,27-Apr-23,404-02-705214-13,99.58,99.85,,2336.16,435.29,98.57,99.39,100,8.54,97.1,99.67,0,0.1,0.64,,100,100,-108.14,146.92,65.52,100
PB_E_T2_HS_UFD023A_A,23-Apr-23,404-02-730023-11,99.37,99.97,,24941.58,948.17,75,85.71,,13.15,39.92,100,0.86,2.43,0.16,,97.5,100,-104.81,82.58,31.87,99.88
,24-Apr-23,404-02-730023-11,99.96,99.62,,3632.95,227.2,99.32,98.04,100,8.7,77.1,100,0,0.69,0.1,,100,100,-103.13,74.13,37.93,99.99
,25-Apr-23,404-02-730023-11,99.94,99.66,,5093.18,188.89,96.12,98.46,100,8.89,79.9,100,0,0.2,0.35,,100,100,-104.84,79.01,41.68,100
,26-Apr-23,404-02-730023-11,99.6,99.42,,2312.26,162.78,96.91,98.21,100,8.12,89.78,100,0,0.39,0.79,,100,100,-103.72,76.19,46.57,100
,27-Apr-23,404-02-730023-11,99.61,99.68,,3425.72,151.06,98.21,100,100,8.66,84.17,100,0,0.24,0.05,,96.3,95,-103.69,82.77,39.77,100
PB_E_T2_HS_UFD023B_B,23-Apr-23,404-02-730023-12,99.95,99.94,,8714.4,532.09,100,100,100,10.13,61.27,100,0,0.02,0.01,,100,100,-100.22,69.07,20.39,99.88
,24-Apr-23,404-02-730023-12,100,99.94,,5703.8,411.19,98.57,104.55,100,9.02,77.1,100,0,0.02,0.01,,100,100,-100.68,65.43,22.59,99.99
,25-Apr-23,404-02-730023-12,99.96,99.27,,4679.54,461.67,100,100,100,9.05,83.92,100,0,0.01,0.01,,95,90.91,-101.75,63.15,20.84,100
,26-Apr-23,404-02-730023-12,100.05,99.74,,6327.43,317.32,96.49,100,100,9.1,66.2,100,0,0.03,0.06,,100,100,-100.45,68.88,19.54,100
,27-Apr-23,404-02-730023-12,99.96,100,,5470.46,526.79,100,95.83,100,9.25,74.6,100,0,0.02,0.02,,100,100,-103.82,74.24,19.52,100
PB_E_T2_HS_UFD023C_C,23-Apr-23,404-02-730023-13,99.75,99.87,,3125.95,132.39,99.37,97.06,100,6.64,74.47,100,0,0.31,0.24,,100,100,-103.86,45.32,14.12,99.88
,24-Apr-23,404-02-730023-13,99.9,99.37,,2249.68,117.19,99.4,100,100,6.38,90.03,100,0,0.08,0.1,,100,100,-103.98,42.81,17.56,99.99
,25-Apr-23,404-02-730023-13,99.17,99.77,,3137.38,127.47,99.41,100,100,6.62,68.3,100,0,0.11,0.06,,100,100,-104.87,43.6,18.39,100
,26-Apr-23,404-02-730023-13,99.95,99.87,,3067.77,101.12,100,100,100,6.59,74.6,100,0,0.34,0.49,,100,100,-103.37,42.46,21.88,100
,27-Apr-23,404-02-730023-13,98.17,99.01,,1826.11,71.64,98.94,100,100,6.7,89.45,100,1.52,0.42,0.21,,100,100,-104.47,43.72,21.96,100
PB_E_T2_HS_UFD025A_A,23-Apr-23,404-02-410025-11,100,99.89,,9511.14,231.07,100,100,,9.17,56.17,99.32,0,0.05,0.01,,100,100,-107.51,73.18,13.67,100
,24-Apr-23,404-02-410025-11,100,99.8,,4384.04,309.66,100,98.94,,8.58,79.1,100,0,0.05,0.01,,96.55,96.3,-108.48,79.48,10.42,99.8
,25-Apr-23,404-02-410025-11,99.54,99.9,,6344,305.52,93.1,100,100,8.67,66.75,100,0,0.01,0.01,,100,100,-106.11,60.76,9.88,100
,26-Apr-23,404-02-410025-11,100,99.73,,5887.65,270.06,86.49,98.95,100,8.83,72.88,100,0,0.03,0.01,,100,100,-109.07,73.09,11.69,100
,27-Apr-23,404-02-410025-11,99.94,99.97,,5154.13,402.45,91.3,99.12,100,8.68,77.45,100,0,0.03,0.01,,100,100,-107.77,39.39,6.48,69.79
PB_E_T2_HS_UFD025B_B,23-Apr-23,404-02-410025-12,99.96,99.91,,3755.94,159.32,99.24,99.84,100,8.84,88.67,100,0,0.08,0.02,,97.73,95.65,-104.79,106.87,27.87,100
,24-Apr-23,404-02-410025-12,99.91,99.84,,2887.71,92.03,99.71,99.05,100,8.36,92.03,100,0,0.12,0.1,,96.55,94.12,-103.37,95.39,4.52,99.8
,25-Apr-23,404-02-410025-12,99.78,99.84,,3428.72,143.3,100,99.61,100,8.54,87.8,100,,0.4,0.64,,100,100,-105.27,74.87,0.13,100
,26-Apr-23,404-02-410025-12,99.3,99.8,,4711.97,139.99,98.4,99.6,100,8.81,84.67,100,0,0.53,0.86,,100,100,-105.81,98.13,0.08,100
,27-Apr-23,404-02-410025-12,99.88,99.68,,3063.61,126.54,99.33,98.59,100,7.81,90.12,97.5,0,0.92,5.44,,100,100,-107.08,45.89,0.07,69.79
PB_E_T2_HS_UFD025C_C,23-Apr-23,404-02-410025-13,99.74,99.63,,2987.02,80.18,96.26,98.98,100,9.15,92.15,100,0,0.12,0.04,,100,100,-103.91,127.69,56.42,100
,24-Apr-23,404-02-410025-13,99.78,99.43,,3098.87,97.98,96.44,98.74,100,9.04,91,100,0,0.04,0.08,,97.06,96.23,-103.96,123.95,10.93,99.8
,25-Apr-23,404-02-410025-13,99.44,99.24,,2896.71,110.73,97,99.07,100,9.15,93.97,100,0,0.04,0.82,,100,100,-105.33,122.5,0.39,100
,26-Apr-23,404-02-410025-13,99.73,99.87,,3702.82,196.41,95.45,99.56,100,9.36,87.62,100,0,0.37,0.16,,100,100,-105.08,124.3,0.52,100
,27-Apr-23,404-02-410025-13,100,99.42,,4959.71,195.58,96.23,98.9,100,10.53,81.33,100,0,6.83,15.69,,99.08,100,-104.22,82.66,0.17,69.79
PB_E_T2_HS_UFD032A_A,23-Apr-23,404-02-720032-11,99.56,99.75,,14422.66,311.03,100,100,,11.05,53.17,100,0,0,0,,100,100,-99.39,51.4,16.84,72.92
,24-Apr-23,404-02-720032-11,99.96,99.35,,13314.83,477.23,100,95.65,100,10.7,51.17,100,0,0,0.3,,100,100,-100.4,53.74,17.04,80.21
,25-Apr-23,404-02-720032-11,100,98.49,,14351.27,634.23,93.55,100,,10.81,51.83,100,0,0.01,0.01,,100,100,-100.14,44.64,14.84,79.19
,26-Apr-23,404-02-720032-11,100,99.75,,17153.46,959.28,100,92.31,,11.23,42.77,100,0,0.02,0,,100,100,-100.42,72.8,30.89,100
,27-Apr-23,404-02-720032-11,100,99.85,,20511.3,799.9,98.18,100,100,11.51,34.42,100,0,0.29,0.02,,100,,-99.56,46.12,15.13,70.41
PB_E_T2_HS_UFD032B_B,23-Apr-23,404-02-720032-12,100,99.91,,7753.05,316.72,100,100,100,9.14,66.97,100,0,0.05,0.01,,100,100,-102.28,45.07,12.13,72.92
,24-Apr-23,404-02-720032-12,100,99.93,,11014.71,559.01,100,98.39,100,9.63,53,100,0,0.04,0.01,,100,100,-103.21,45.76,12.76,80.21
,25-Apr-23,404-02-720032-12,99.97,97.98,,8383.92,376.8,100,100,100,8.99,60.3,100,0,0,0.01,,100,100,-104.46,46.42,13.42,79.19
,26-Apr-23,404-02-720032-12,100,100,,10589.08,539.95,100,100,100,9.96,50.88,100,0,0.03,0.01,,100,100,-100.1,63.9,18.06,100
,27-Apr-23,404-02-720032-12,100,99.96,,16409.46,664.51,97.5,96.55,100,9.84,41.02,100,0,0.01,0,,100,100,-104.45,40.51,7.93,70.41
PB_E_T2_HS_UFD032C_C,23-Apr-23,404-02-720032-13,99.93,99.98,,11349.91,494.52,96.43,97.83,100,11.66,68.95,100,0,0.01,0.01,,100,100,-103.77,104.26,35.01,72.92
,24-Apr-23,404-02-720032-13,100,99.85,,2085.39,293.51,97.37,96.63,100,10.65,90.75,100,0,1.52,0.08,,100,100,-103.19,100.54,37.75,80.21
,25-Apr-23,404-02-720032-13,99.85,98.39,,5846.37,226.48,100,96.7,100,10.65,84.78,99.21,0,0.01,0.01,,100,100,-101.62,96.85,44.32,79.19
,26-Apr-23,404-02-720032-13,99.91,99.86,,5934.59,349.52,100,100,100,11.07,88.9,100,0,0,0.01,,100,100,-101.97,149.33,57.99,100
,27-Apr-23,404-02-720032-13,100,99.9,,21037.53,661.32,100,100,100,11.81,48.25,100,0,0.02,0.01,,100,100,-102.32,79.91,36.17,70.41
PB_E_T2_HS_UFD047A_A,23-Apr-23,404-02-705047-11,99.92,99.81,,4025.61,497.19,99.07,100,100,8.39,78.97,100,0,0.06,0.01,,100,100,-105.22,81.22,20.12,100
,24-Apr-23,404-02-705047-11,99.97,99.97,,3556.7,423.1,98.44,100,100,7.94,79.08,100,0,0.05,0.01,,100,100,-105.97,78.56,19.7,100
,25-Apr-23,404-02-705047-11,100,99.89,,10304.6,658.83,100,100,100,7.82,65.12,99.07,0,0.07,0.01,,100,100,-104.28,75.17,23.4,100
,26-Apr-23,404-02-705047-11,100,99.94,,5339.87,396.39,100,100,100,8.06,75.78,100,0,0.05,0.01,,100,100,-101.46,74.66,25.7,99.93
,27-Apr-23,404-02-705047-11,100,99.77,,4047.99,556.54,98.73,100,100,7.79,75.05,99.24,0,0.04,0.01,,100,100,-104.07,68.42,21.03,100
PB_E_T2_HS_UFD047B_B,23-Apr-23,404-02-705047-12,99.98,99.85,,1914.04,279.57,98.04,98.98,100,8.03,95.42,99.6,0,0.03,0.03,,97.44,97.19,-106.68,140.21,40.09,100
,24-Apr-23,404-02-705047-12,100,99.88,,1999.66,274.42,94.64,99.57,100,8.12,96.9,100,0,0.04,0.02,,99.02,98.99,-106.95,135.18,31.27,100
,25-Apr-23,404-02-705047-12,99.97,99.93,,4090.18,308.73,98.63,99.37,100,8.99,89.3,100,0,0.14,0.04,,97.25,97.16,-107.16,153.19,35.07,100
,26-Apr-23,404-02-705047-12,99.73,99.74,,1121.08,145.92,100,98.48,100,7.68,99.45,100,0,0.04,0.02,,99.22,99.16,-106.98,145.51,44.37,99.93
,27-Apr-23,404-02-705047-12,99.86,99.94,,3717,245.23,92.86,98.2,100,8.64,85.72,100,0,0.06,0.03,,99.32,99.31,-107.39,151.54,45.21,100
PB_E_T2_HS_UFD047C_C,23-Apr-23,404-02-705047-13,99.58,99.87,,2141.79,296.19,98.89,99.08,100,7.72,94.9,99.66,0,0.2,0.05,,100,100,-106.27,121.3,34.75,100
,24-Apr-23,404-02-705047-13,99.84,99.94,,2178.29,285.34,92.86,98.85,100,7.82,93.8,99.69,0,0.05,0.01,,100,100,-103.83,112.09,38.93,100
,25-Apr-23,404-02-705047-13,99.94,99.93,,3556.95,354.98,97.75,100,100,8.17,84.47,100,0,0.11,0.03,,99.35,99.31,-104.62,108.29,45.18,100
,26-Apr-23,404-02-705047-13,99.81,99.8,,2230.53,360.51,97.44,99.66,100,8.13,90.4,99.63,0,0.11,0.01,,99.24,99.16,-104.18,119.94,42.75,99.93
,27-Apr-23,404-02-705047-13,99.71,99.95,,1575.54,279.02,100,100,100,7.81,97.22,100,0,0.02,0.01,,100,100,-104.6,123.78,47.25,100
PB_E_T2_HS_UFS014A_A,23-Apr-23,404-02-700014-11,98.92,99.65,,5199.46,246.24,97.17,98.54,100,11.24,33.83,100,0,0.16,0.3,,98.91,98.39,-100.83,79.22,53.94,100
,24-Apr-23,404-02-700014-11,99.37,99.39,,6349.99,247.88,100,100,100,11.1,30.38,100,0,0.25,0.05,,99.21,99.14,-99.38,77.23,74.22,100
,25-Apr-23,404-02-700014-11,99.32,99.74,,6393.97,376.76,96.79,99.59,100,11.17,27.9,100,1.4,0.19,0.52,,100,100,-100.15,73.26,63.63,100
,26-Apr-23,404-02-700014-11,99.07,99.76,,4781.09,151.74,99.3,100,100,11.16,27.55,100,0.44,0.07,0.4,,99.17,99.55,-100.24,76.16,70.19,100
,27-Apr-23,404-02-700014-11,99.43,99.62,,4060.43,159.18,96.49,100,100,11.16,27.85,99.61,0,0.06,0.15,,100,100,-100,73.67,66.21,98.29
PB_E_T2_HS_UFS014B_B,23-Apr-23,404-02-700014-12,99.39,99.92,,6160.58,494.97,100,100,100,11.76,31.38,100,0.51,0.16,0.07,,96.61,96.23,-100,81.48,65.87,100
,24-Apr-23,404-02-700014-12,98.74,98.59,,18074.4,629.82,100,88.57,,12.55,17.15,100,1.22,0.02,0.01,,100,100,-99.29,81.4,70.85,100
,25-Apr-23,404-02-700014-12,98.29,99.83,,5957.59,377.51,100,100,100,11.88,34.33,100,0,0.01,0.04,,100,100,-99.3,86.97,72.03,100
,26-Apr-23,404-02-700014-12,99.62,99.94,,3486.6,387.58,96.34,100,100,11.38,38.33,100,0.4,0.04,0.01,,100,100,-99.38,83.55,60.96,100
,27-Apr-23,404-02-700014-12,99.34,99.97,,6607.16,521.91,97.92,100,100,11.51,27.38,98.87,0,0.04,0.03,,100,100,-99.48,79.43,68.04,98.29
PB_E_T2_HS_UFS014C_C,23-Apr-23,404-02-700014-13,98.07,99.47,,6320.15,285.03,93.07,98.64,100,9.32,18.8,100,0,0.03,0.02,,98.04,97.37,-102.21,26.06,16.5,100
,24-Apr-23,404-02-700014-13,97.71,98.95,,6080.33,314.94,92.86,96.67,100,9.15,15.6,100,0,0.09,0.05,,97.87,100,-102.7,26.95,13.38,100
,25-Apr-23,404-02-700014-13,98.13,99.63,,6644.14,295.68,95,97.73,100,9.26,16.9,100,3.28,0.32,0.19,,100,100,-106.1,27.6,16.06,100
,26-Apr-23,404-02-700014-13,99.24,100,,11267.85,206.3,97.3,90,100,9.6,19.5,100,0,0.04,0.05,,100,100,-102.82,27.64,17.99,100
,27-Apr-23,404-02-700014-13,95.5,99.47,,5901.18,266.81,93.86,99.21,100,9.27,20.65,98.72,0,0.05,0.04,,100,100,-103.72,31.55,14.09,98.29
PB_E_T2_HS_UFS030A_A,23-Apr-23,404-02-720030-11,99.7,99.88,,1147.75,96.72,98.85,100,100,8.02,99.25,97.67,0,0.09,0.08,,97.96,100,-103.11,136.48,67.86,99.98
,24-Apr-23,404-02-720030-11,99.84,99.8,,4171.25,215.37,94.96,100,100,8.06,82.15,100,0,0.3,0.07,,100,100,-102.47,58.16,28.38,59.29
,25-Apr-23,404-02-720030-11,99.64,99.86,,1358.54,109.7,89.36,100,100,8.22,98.62,99.38,0,0.06,0.41,,96.67,100,-103.08,45.78,25.98,25.05
,26-Apr-23,404-02-720030-11,99.81,99.62,,3086.7,173.75,94.74,100,100,8.4,95.6,99.7,0,0.19,0.06,,97.56,96,-102.69,130.54,75.26,93.27
,27-Apr-23,404-02-720030-11,99.77,99.91,,1476.3,84.94,96.59,100,100,8,98.47,100,0,0.15,0.06,,98.31,100,-102.63,145.76,71.23,100
PB_E_T2_HS_UFS030B_B,23-Apr-23,404-02-720030-12,99.84,99.95,,3519.92,242.01,96.07,97.06,100,8.79,90.95,100,0,0.11,0.07,,100,100,-102.74,126.54,63.56,99.98
,24-Apr-23,404-02-720030-12,99.78,99.87,,3080.23,204.98,94.76,100,100,8.56,93.47,100,0,0.11,0.05,,100,100,-102.73,58.21,26.7,59.3
