"Short name",,"4G_ECGI","Radio NW Availability","E-UTRAN Average CQI [CDBH]","UL User Throughput_Kbps [CDBH]","VoLTE Traffic_24Hrs","UL PUCCH SINR [CDBH]","Data Volume DL - Total [MB] [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","VoLTE DCR_Nom [CBBH]","VoLTE DCR_Denom [CBBH]","VoLTE DCR [CBBH]","PS handover success rate [LTE Intra System] [CDBH]","VoLTE SRVCC SR_Nom [CBBH]","VoLTE SRVCC SR_Denom [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE SRVCC SR_Denom","VoLTE SRVCC SR","DL User Throughput_Kbps [CDBH]","Average number of used DL PRBs [CDBH]","Average UE Distance_KM [CDBH]","VoLTE Packet Loss DL [CBBH]","VoLTE Packet Loss UL [CBBH]","4G Data Volume_L1800 [GB]","4G Data Volume_L900 [GB]","MV_4G Data Volume_GB_TDD","4G Data Volume_L2100 [GB]","MV_4G Data Volume_GB","4G Data Volume [GB]","PS Drop Call Rate % [CDBH]"
,"14 Jan 23","405-52-930481-32",100.00,7.80,171.54,33.43,2.85,3341.42,100.00,99.87,0.00,82.00,0.00,97.99,0.00,0.00,,100.00,0.00,,890.73,97.28,2.324,0.09,0.13,,,59.42,59.42,59.4172,59.42,1.48
,"15 Jan 23","405-52-930481-32",100.00,8.04,307.86,33.28,4.84,3226.38,99.76,99.85,0.00,130.00,0.00,96.09,0.00,0.00,,99.59,0.00,,2305.90,77.92,2.371,0.14,0.14,,,62.83,62.83,62.8288,62.83,0.39
"BH_ZQ_F1_OM_BHGGT-05C_C","11 Jan 23","405-52-930481-33",98.62,7.92,360.92,75.67,8.42,4536.04,99.39,99.56,1.00,234.00,0.43,99.59,0.00,0.00,,100.00,0.00,,736.60,98.67,1.266,0.14,0.49,,,66.66,66.66,66.6587,66.66,0.62
,"12 Jan 23","405-52-930481-33",100.00,8.06,193.64,69.53,8.49,4763.27,99.67,99.73,1.00,182.00,0.55,97.71,0.00,0.00,,100.00,0.00,,725.43,98.95,1.325,0.23,0.41,,,72.48,72.48,72.4763,72.48,1.10
,"13 Jan 23","405-52-930481-33",97.94,7.76,228.97,69.39,8.19,4206.33,99.79,99.70,2.00,219.00,0.91,99.16,0.00,0.00,,100.00,0.00,,660.49,98.95,1.321,0.30,0.46,,,66.18,66.18,66.1832,66.18,1.45
,"14 Jan 23","405-52-930481-33",100.00,8.04,315.30,68.95,7.06,3947.10,99.05,99.83,0.00,259.00,0.00,97.61,0.00,0.00,,100.00,0.00,,806.38,98.30,1.268,0.10,0.31,,,68.45,68.45,68.4517,68.45,0.44
,"15 Jan 23","405-52-930481-33",100.00,7.84,174.89,63.05,7.17,3815.21,99.83,99.74,0.00,115.00,0.00,97.42,0.00,0.00,,100.00,0.00,,1059.77,96.28,1.317,0.12,0.28,,,67.98,67.98,67.9758,67.98,1.13
"BH_ZQ_F1_OM_BHKBF-02A_A","11 Jan 23","405-52-931046-31",98.96,7.13,199.82,33.42,8.15,3033.98,99.73,99.68,1.00,140.00,0.71,93.48,0.00,0.00,,100.00,0.00,,1804.99,84.62,1.388,0.18,0.33,,,41.58,41.58,41.5755,41.58,0.36
,"12 Jan 23","405-52-931046-31",100.00,7.21,160.37,38.31,8.86,3010.52,99.46,99.71,2.00,160.00,1.25,94.35,0.00,0.00,,100.00,0.00,,1433.11,93.80,1.804,0.42,0.48,,,44.28,44.28,44.2814,44.28,0.78
,"13 Jan 23","405-52-931046-31",100.00,6.69,174.98,45.21,8.09,2434.01,99.76,99.96,0.00,172.00,0.00,96.52,0.00,0.00,,100.00,0.00,,1722.28,81.78,1.404,0.19,0.59,,,42.13,42.13,42.1255,42.13,0.87
,"14 Jan 23","405-52-931046-31",75.25,6.81,171.11,28.24,9.16,2444.76,99.49,99.77,0.00,171.00,0.00,97.09,0.00,0.00,,99.82,0.00,,1298.82,83.67,1.710,0.32,0.32,,,30.92,30.92,30.9191,30.92,0.08
,"15 Jan 23","405-52-931046-31",91.69,7.27,251.52,57.87,7.87,3648.85,98.86,99.45,1.00,136.00,0.74,99.22,0.00,0.00,,99.60,0.00,,399.73,98.50,1.587,0.23,0.44,,,57.18,57.18,57.1793,57.18,0.37
"BH_ZQ_F1_OM_BHKBF-02B_B","11 Jan 23","405-52-931046-32",98.96,7.51,291.41,27.49,6.46,4017.41,100.00,99.66,0.00,130.00,0.00,99.42,0.00,0.00,,100.00,0.00,,1407.37,93.67,1.193,0.07,0.53,,,42.96,42.96,42.9622,42.96,0.19
,"12 Jan 23","405-52-931046-32",100.00,8.17,281.33,31.83,7.64,2655.72,99.78,99.87,0.00,132.00,0.00,63.02,0.00,0.00,,100.00,0.00,,3094.91,70.03,1.476,0.04,0.10,,,37.58,37.58,37.5837,37.58,0.36
,"13 Jan 23","405-52-931046-32",100.00,7.51,265.23,30.00,4.43,4097.50,99.93,99.75,3.00,128.00,2.34,99.05,0.00,0.00,,98.35,0.00,,953.22,98.00,1.209,0.16,0.11,,,49.12,49.12,49.1209,49.12,0.42
,"14 Jan 23","405-52-931046-32",75.25,7.42,250.17,22.54,7.51,3080.86,99.89,99.85,0.00,109.00,0.00,99.56,0.00,0.00,,100.00,0.00,,2670.24,75.33,1.521,0.02,0.09,,,29.19,29.19,29.1907,29.19,0.09
,"15 Jan 23","405-52-931046-32",91.69,7.69,433.61,33.06,4.77,4130.30,99.90,99.80,0.00,69.00,0.00,99.72,0.00,0.00,,100.00,0.00,,802.10,97.80,1.402,0.03,0.28,,,48.77,48.77,48.7732,48.77,0.16
"BH_ZQ_F1_OM_BHKBF-02C_C","11 Jan 23","405-52-931046-33",98.96,9.99,555.95,49.79,8.24,5709.01,100.00,99.86,0.00,101.00,0.00,99.75,0.00,0.00,,100.00,0.00,,3356.08,85.92,0.655,0.00,0.02,,,53.17,53.17,53.1705,53.17,0.02
,"12 Jan 23","405-52-931046-33",100.00,9.53,358.72,56.62,5.79,4752.37,99.80,99.84,0.00,183.00,0.00,72.93,0.00,0.00,,100.00,0.00,,1510.42,88.60,0.913,0.02,0.04,,,45.36,45.36,45.3557,45.36,0.35
,"13 Jan 23","405-52-931046-33",100.00,9.65,521.74,51.35,6.46,6244.79,99.96,99.92,0.00,104.00,0.00,98.08,0.00,0.00,,100.00,0.00,,1296.85,98.15,0.691,0.04,0.11,,,63.76,63.76,63.7553,63.76,0.11
,"14 Jan 23","405-52-931046-33",75.25,11.10,696.17,31.57,12.47,2041.21,99.84,99.89,0.00,122.00,0.00,75.57,0.00,0.00,,100.00,0.00,,8859.53,35.17,0.731,0.06,0.10,,,28.49,28.49,28.4914,28.49,0.14
,"15 Jan 23","405-52-931046-33",91.69,9.37,517.34,68.36,4.73,5464.00,99.57,99.84,0.00,110.00,0.00,99.40,0.00,0.00,,100.00,0.00,,1053.72,97.80,0.828,0.02,0.06,,,53.67,53.67,53.6652,53.67,0.20
"BH_ZQ_F1_OM_BHKCH-05A_A","11 Jan 23","405-52-930355-31",98.93,8.93,793.48,19.80,8.91,2649.53,99.68,99.77,0.00,93.00,0.00,98.28,0.00,0.00,,100.00,0.00,,5182.28,56.23,1.011,0.01,0.06,,,43.72,43.72,43.7151,43.72,0.09
,"12 Jan 23","405-52-930355-31",100.00,8.34,366.37,20.40,7.61,3323.84,99.87,99.80,0.00,96.00,0.00,97.31,0.00,0.00,,100.00,0.00,,5059.26,69.42,1.071,0.06,0.01,,,48.89,48.89,48.8865,48.89,0.22
,"13 Jan 23","405-52-930355-31",100.00,10.32,510.99,23.87,9.24,2779.15,99.81,99.79,0.00,108.00,0.00,99.58,0.00,0.00,,100.00,0.00,,9727.51,42.55,1.287,0.03,0.15,,,44.07,44.07,44.0717,44.07,0.02
,"14 Jan 23","405-52-930355-31",100.00,7.67,375.85,23.85,5.30,3081.42,99.59,99.90,0.00,63.00,0.00,99.59,0.00,0.00,,100.00,0.00,,2160.09,83.58,1.503,0.11,0.18,,,48.74,48.74,48.7445,48.74,0.27
,"15 Jan 23","405-52-930355-31",100.00,8.21,387.78,25.70,6.35,4052.12,99.83,99.96,0.00,118.00,0.00,99.51,0.00,0.00,,100.00,0.00,,1752.41,93.65,1.384,0.02,0.03,,,52.30,52.30,52.2978,52.30,0.05
"BH_ZQ_F1_OM_BHKCH-05B_B","11 Jan 23","405-52-930355-32",98.93,12.34,874.87,55.08,10.44,3908.40,99.85,99.89,0.00,223.00,0.00,99.82,0.00,0.00,,100.00,0.00,,11096.54,46.98,0.675,0.00,0.02,,,68.28,68.28,68.2805,68.28,0.01
,"12 Jan 23","405-52-930355-32",100.00,11.80,677.91,49.80,10.01,4113.32,99.96,99.96,0.00,180.00,0.00,97.23,0.00,0.00,,100.00,0.00,,10568.77,52.35,0.615,0.01,0.02,,,67.62,67.62,67.6169,67.62,0.02
,"13 Jan 23","405-52-930355-32",100.00,10.70,818.58,50.46,8.73,4713.82,99.89,99.89,0.00,232.00,0.00,94.35,0.00,0.00,,100.00,0.00,,5641.27,68.30,0.534,0.00,0.01,,,69.78,69.78,69.7794,69.78,0.21
,"14 Jan 23","405-52-930355-32",100.00,9.04,864.95,45.45,6.48,4701.41,99.69,99.86,0.00,184.00,0.00,98.18,0.00,0.00,,100.00,0.00,,2269.34,90.08,0.769,0.01,0.03,,,70.97,70.97,70.9702,70.97,0.14
,"15 Jan 23","405-52-930355-32",100.00,8.81,401.47,49.96,5.76,4887.40,99.89,99.85,3.00,197.00,1.52,98.41,0.00,0.00,,100.00,0.00,,3053.26,83.83,0.951,0.04,0.02,,,72.37,72.37,72.3706,72.37,0.06
"BH_ZQ_F1_OM_BHKCH-05C_C","11 Jan 23","405-52-930355-33",98.93,11.17,547.75,40.40,10.56,4983.62,99.44,99.95,0.00,136.00,0.00,100.00,0.00,0.00,,100.00,0.00,,7155.08,63.30,1.050,0.02,0.02,,,72.58,72.58,72.5792,72.58,0.04
,"12 Jan 23","405-52-930355-33",100.00,11.20,574.21,37.45,9.13,5571.76,99.80,99.86,0.00,152.00,0.00,99.44,0.00,0.00,,100.00,0.00,,4642.56,77.28,0.987,0.02,0.04,,,72.34,72.34,72.3444,72.34,0.03
,"13 Jan 23","405-52-930355-33",100.00,10.81,502.97,36.53,8.33,6501.47,99.79,99.93,0.00,91.00,0.00,97.94,0.00,0.00,,99.34,0.00,,3620.23,86.55,0.977,0.00,0.03,,,73.36,73.36,73.3607,73.36,0.03
,"14 Jan 23","405-52-930355-33",100.00,10.60,540.60,32.78,9.57,5862.45,99.94,99.86,0.00,61.00,0.00,99.83,0.00,0.00,,100.00,0.00,,2816.21,90.50,1.080,0.01,0.11,,,77.91,77.91,77.9063,77.91,0.00
,"15 Jan 23","405-52-930355-33",100.00,10.98,362.89,34.51,7.64,6473.88,98.65,99.73,0.00,60.00,0.00,99.49,0.00,0.00,,100.00,0.00,,2318.24,91.92,1.024,0.04,0.03,,,82.27,82.27,82.2697,82.27,0.15
"BH_ZQ_F1_OM_BHKIR-07A_A","11 Jan 23","405-52-930763-31",97.80,7.21,261.10,5.78,8.22,1682.33,99.98,99.90,0.00,39.00,0.00,99.50,0.00,0.00,,100.00,0.00,,3587.76,53.95,1.877,0.06,0.22,,,22.37,22.37,22.3694,22.37,0.21
,"12 Jan 23","405-52-930763-31",82.29,7.42,437.91,2.19,9.72,875.88,99.80,99.75,0.00,12.00,0.00,100.00,0.00,0.00,,100.00,0.00,,5870.62,27.23,1.556,0.67,0.06,,,7.86,7.86,7.8560,7.86,0.31
,"13 Jan 23","405-52-930763-31",100.00,4.43,200.70,1.86,5.29,667.31,99.58,99.83,0.00,16.00,0.00,79.69,0.00,0.00,,100.00,0.00,,1955.87,42.23,1.819,0.59,4.96,,,9.45,9.45,9.4530,9.45,0.75
,"14 Jan 23","405-52-930763-31",100.00,4.93,233.45,3.42,6.11,1048.91,99.92,99.91,0.00,6.00,0.00,94.19,0.00,0.00,,100.00,0.00,,2745.89,50.20,1.951,0.07,0.12,,,11.04,11.04,11.0378,11.04,0.38
,"15 Jan 23","405-52-930763-31",98.73,4.95,252.35,2.55,6.87,778.41,99.68,99.82,0.00,8.00,0.00,99.74,0.00,0.00,,100.00,0.00,,2696.71,40.95,1.663,0.09,0.04,,,11.12,11.12,11.1246,11.12,0.11
"BH_ZQ_F1_OM_BHKIR-07A_L","11 Jan 23","405-52-930763-151",97.80,7.91,234.60,38.60,5.10,5051.63,99.95,99.86,0.00,137.00,0.00,99.71,0.00,0.00,,99.49,0.00,,921.26,98.78,1.531,0.06,0.77,,,61.05,61.05,61.0516,61.05,0.26
,"12 Jan 23","405-52-930763-151",82.29,9.02,185.99,49.06,8.08,5052.23,99.74,99.79,0.00,149.00,0.00,99.85,0.00,0.00,,100.00,0.00,,4355.15,63.83,1.514,0.08,0.22,,,62.84,62.84,62.8414,62.84,0.29
,"13 Jan 23","405-52-930763-151",100.00,7.66,219.13,63.68,6.51,4305.01,99.88,99.80,0.00,183.00,0.00,99.87,0.00,0.00,,100.00,0.00,,1260.61,96.62,1.480,0.02,0.27,,,79.61,79.61,79.6060,79.61,0.50
,"14 Jan 23","405-52-930763-151",100.00,8.61,292.01,78.70,7.37,5343.35,99.87,99.87,0.00,237.00,0.00,99.91,0.00,0.00,,100.00,0.00,,4192.09,77.53,1.479,0.08,0.37,,,87.24,87.24,87.2421,87.24,0.24
,"15 Jan 23","405-52-930763-151",98.73,8.43,287.80,65.25,6.48,4604.78,99.89,99.91,1.00,166.00,0.60,100.00,0.00,0.00,,100.00,0.00,,3424.18,77.65,1.539,0.03,0.19,,,76.23,76.23,76.2346,76.23,0.26
"BH_ZQ_F1_OM_BHKIR-07B_B","11 Jan 23","405-52-930763-33",97.80,7.39,251.47,26.22,6.67,2255.19,99.84,99.86,0.00,111.00,0.00,98.72,0.00,0.00,,100.00,0.00,,2341.48,72.05,1.936,0.01,0.06,,,34.13,34.13,34.1329,34.13,0.12
,"12 Jan 23","405-52-930763-33",82.29,7.85,250.97,23.65,7.42,2865.71,99.91,99.93,0.00,60.00,0.00,99.31,0.00,0.00,,100.00,0.00,,2834.91,75.55,1.551,0.05,0.20,,,32.29,32.29,32.2903,32.29,0.11
,"13 Jan 23","405-52-930763-33",100.00,8.36,325.03,27.04,6.19,2643.23,99.91,99.91,0.00,70.00,0.00,99.33,0.00,0.00,,100.00,0.00,,2907.35,69.58,1.733,0.02,0.04,,,37.12,37.12,37.1195,37.12,0.47
,"14 Jan 23","405-52-930763-33",100.00,7.98,306.25,26.23,5.26,2850.47,99.92,99.82,1.00,111.00,0.90,98.91,0.00,0.00,,100.00,0.00,,1571.43,85.88,1.750,0.07,0.04,,,40.18,40.18,40.1812,40.18,0.46
,"15 Jan 23","405-52-930763-33",98.73,7.89,339.82,25.39,5.64,2679.84,99.93,99.94,0.00,103.00,0.00,99.74,0.00,0.00,,100.00,0.00,,2323.65,78.38,2.445,0.03,0.05,,,37.87,37.87,37.8680,37.87,0.23
"BH_ZQ_F1_OM_BHKIR-07C_C","11 Jan 23","405-52-930763-2",97.80,9.48,443.39,14.55,10.62,1781.55,99.83,100.01,0.00,47.00,0.00,99.84,0.00,0.00,,100.00,0.00,,6820.90,38.20,1.074,0.01,0.03,,,29.87,29.87,29.8693,29.87,0.07
,"12 Jan 23","405-52-930763-2",82.29,9.08,439.83,12.80,10.65,2343.57,99.81,99.92,0.00,31.00,0.00,99.83,0.00,0.00,,100.00,0.00,,5863.25,51.65,1.181,0.01,0.02,,,22.69,22.69,22.6890,22.69,0.21
,"13 Jan 23","405-52-930763-2",100.00,6.79,251.81,15.50,8.33,2460.83,99.89,99.64,0.00,90.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1917.00,82.17,1.208,0.01,0.06,,,36.24,36.24,36.2352,36.24,1.06
,"14 Jan 23","405-52-930763-2",100.00,8.77,468.28,21.14,10.11,2502.05,99.90,99.94,0.00,97.00,0.00,99.44,0.00,0.00,,100.00,0.00,,6827.29,46.17,1.224,0.03,0.03,,,43.05,43.05,43.0490,43.05,0.19
,"15 Jan 23","405-52-930763-2",98.73,7.38,276.47,22.42,7.29,2721.31,99.75,100.00,1.00,67.00,1.49,99.16,0.00,0.00,,100.00,0.00,,2257.29,80.55,1.303,0.01,0.14,,,39.05,39.05,39.0512,39.05,0.11
"BH_ZQ_F1_OM_BHKPY-04A_A","11 Jan 23","405-52-830096-31",100.00,7.44,184.69,24.33,1.69,3851.33,99.87,99.91,0.00,79.00,0.00,93.61,0.00,0.00,,100.00,0.00,,1917.92,86.08,1.474,0.02,0.15,,,38.96,38.96,38.9626,38.96,0.23
,"12 Jan 23","405-52-830096-31",100.00,6.89,133.97,26.25,0.63,2935.16,99.53,99.71,0.00,49.00,0.00,67.34,0.00,0.00,,100.00,0.00,,1286.65,85.40,1.504,0.04,0.51,,,38.94,38.94,38.9370,38.94,1.44
,"13 Jan 23","405-52-830096-31",100.00,7.13,151.57,23.41,1.92,3509.35,99.60,99.62,0.00,66.00,0.00,58.56,0.00,0.00,,100.00,0.00,,1537.36,86.38,1.261,0.05,0.10,,,37.86,37.86,37.8576,37.86,0.68
,"14 Jan 23","405-52-830096-31",100.00,7.58,197.59,27.79,4.72,3214.92,99.62,99.80,0.00,71.00,0.00,90.87,0.00,0.00,,100.00,0.00,,4662.66,64.00,1.291,0.02,0.10,,,34.37,34.37,34.3746,34.37,0.32
,"15 Jan 23","405-52-830096-31",100.00,7.28,204.90,21.17,3.23,2943.50,99.97,99.75,0.00,53.00,0.00,100.00,0.00,0.00,,100.00,0.00,,3061.52,69.80,1.350,0.03,0.16,,,33.31,33.31,33.3105,33.31,0.50
"BH_ZQ_F1_OM_BHKPY-04B_B","11 Jan 23","405-52-830096-32",100.00,8.10,345.66,20.98,7.54,3554.38,99.37,99.75,0.00,79.00,0.00,97.36,0.00,0.00,,100.00,0.00,,5437.31,70.22,1.645,0.02,0.02,,,35.52,35.52,35.5173,35.52,0.30
,"12 Jan 23","405-52-830096-32",100.00,8.26,288.23,27.22,6.55,2200.87,98.87,99.91,0.00,65.00,0.00,73.49,0.00,0.00,,100.00,0.00,,4707.05,56.52,1.642,0.01,0.07,,,32.00,32.00,32.0032,32.00,0.65
,"13 Jan 23","405-52-830096-32",100.00,8.70,241.06,24.09,7.16,2093.59,99.77,99.73,0.00,76.00,0.00,82.53,0.00,0.00,,100.00,0.00,,4173.94,55.15,1.376,0.01,0.03,,,30.65,30.65,30.6536,30.65,0.24
,"14 Jan 23","405-52-830096-32",100.00,8.99,361.27,31.14,8.84,1849.85,99.95,100.00,0.00,72.00,0.00,98.19,0.00,0.00,,100.00,0.00,,7272.42,36.65,1.427,0.02,0.03,,,28.98,28.98,28.9812,28.98,0.26
,"15 Jan 23","405-52-830096-32",100.00,9.07,497.20,28.89,8.50,2556.38,99.85,99.80,0.00,17.00,0.00,99.58,0.00,0.00,,100.00,0.00,,7960.56,38.67,1.587,0.00,0.01,,,29.73,29.73,29.7294,29.73,0.32
"BH_ZQ_F1_OM_BHKPY-04C_C","11 Jan 23","405-52-830096-33",100.00,7.93,149.56,48.25,3.53,4124.52,99.55,99.44,0.00,122.00,0.00,67.29,0.00,0.00,,100.00,0.00,,1240.06,91.95,1.090,0.03,0.18,,,49.86,49.86,49.8573,49.86,3.18
,"12 Jan 23","405-52-830096-33",100.00,8.39,206.61,70.07,2.31,5405.48,99.88,99.83,0.00,147.00,0.00,63.50,0.00,0.00,,100.00,0.00,,515.14,98.78,1.052,0.05,0.15,,,93.96,93.96,93.9632,93.96,0.74
,"13 Jan 23","405-52-830096-33",100.00,8.29,194.23,58.15,4.34,5164.61,99.61,99.81,0.00,153.00,0.00,18.92,0.00,0.00,,98.68,0.00,,1022.37,97.33,1.047,0.02,0.40,,,76.66,76.66,76.6624,76.66,5.36
,"14 Jan 23","405-52-830096-33",100.00,8.37,235.92,68.55,3.37,5300.42,99.35,99.73,4.00,188.00,2.13,85.99,0.00,0.00,,100.00,0.00,,390.91,98.97,1.023,0.04,0.17,,,78.91,78.91,78.9101,78.91,1.05
,"15 Jan 23","405-52-830096-33",100.00,8.32,248.66,65.76,6.05,5795.86,99.48,99.94,0.00,142.00,0.00,99.67,0.00,0.00,,100.00,0.00,,1262.36,93.92,1.082,0.02,0.11,,,98.66,98.66,98.6636,98.66,0.74
"BH_ZQ_F1_OM_BHMAP-15A_A","11 Jan 23","405-52-930830-31",98.60,9.42,375.84,111.32,7.43,4277.25,99.79,99.88,0.00,578.00,0.00,99.20,0.00,0.00,,100.00,0.00,,2066.67,87.38,0.946,0.04,0.04,,,77.73,77.73,77.7318,77.73,0.33
,"12 Jan 23","405-52-930830-31",98.66,9.26,542.83,121.28,6.56,4341.40,99.84,99.83,0.00,496.00,0.00,98.82,0.00,0.00,,100.00,0.00,,1074.66,96.08,0.902,0.03,0.07,,,68.70,68.70,68.7022,68.70,0.26
,"13 Jan 23","405-52-930830-31",100.00,8.40,451.17,107.45,4.63,4634.58,99.88,99.79,2.00,534.00,0.37,98.92,0.00,0.00,,100.00,0.00,,500.23,98.67,0.902,0.05,0.04,,,79.24,79.24,79.2427,79.24,0.34
,"14 Jan 23","405-52-930830-31",100.00,8.73,444.81,107.23,5.95,4798.92,99.90,99.86,0.00,544.00,0.00,97.96,0.00,0.00,,100.00,0.00,,558.51,98.70,0.838,0.03,0.05,,,88.04,88.04,88.0432,88.04,0.29
,"15 Jan 23","405-52-930830-31",100.00,8.88,1377.48,92.33,6.28,4393.64,99.73,99.88,0.00,435.00,0.00,97.84,0.00,0.00,,100.00,0.00,,498.86,98.47,0.962,0.08,0.04,,,94.26,94.26,94.2587,94.26,0.31
"BH_ZQ_F1_OM_BHMAP-15B_B","11 Jan 23","405-52-930830-32",98.61,6.37,271.04,12.01,7.81,3160.93,99.85,99.02,0.00,27.00,0.00,92.40,0.00,0.00,,100.00,0.00,,872.69,97.08,1.455,0.07,0.26,,,44.19,44.19,44.1865,44.19,0.93
,"12 Jan 23","405-52-930830-32",98.66,6.97,323.38,11.38,7.16,3215.03,99.78,99.74,0.00,35.00,0.00,92.62,0.00,0.00,,100.00,0.00,,1013.50,93.90,1.349,0.09,0.05,,,42.93,42.93,42.9263,42.93,0.67
,"13 Jan 23","405-52-930830-32",100.00,6.78,277.35,13.67,7.47,3265.42,99.96,99.67,0.00,32.00,0.00,71.04,0.00,0.00,,100.00,0.00,,699.42,98.35,1.412,0.05,0.17,,,43.14,43.14,43.1433,43.14,0.40
,"14 Jan 23","405-52-930830-32",100.00,6.52,271.07,13.15,8.13,3074.79,99.93,99.83,0.00,22.00,0.00,98.00,0.00,0.00,,100.00,0.00,,625.54,97.95,1.407,0.02,0.03,,,44.06,44.06,44.0596,44.06,0.42
,"15 Jan 23","405-52-930830-32",100.00,6.46,349.09,13.74,7.68,2914.24,99.88,99.73,0.00,46.00,0.00,99.13,0.00,0.00,,100.00,0.00,,869.44,95.78,1.365,0.03,0.20,,,48.28,48.28,48.2755,48.28,0.30
"BH_ZQ_F1_OM_BHMAP-15C_C","11 Jan 23","405-52-930830-101",98.56,11.17,123.50,1.26,1.31,9539.21,99.75,99.88,0.00,5.00,0.00,99.89,0.00,0.00,,100.00,0.00,,9255.52,77.75,0.727,0.47,0.09,,,142.93,,142.9300,142.93,0.25
,"12 Jan 23","405-52-930830-101",96.85,10.18,183.10,0.97,0.30,6015.25,99.67,99.48,1.00,10.00,10.00,99.83,0.00,0.00,,100.00,0.00,,6738.18,79.15,0.639,0.46,0.13,,,89.12,,89.1192,89.12,0.71
,"13 Jan 23","405-52-930830-101",100.00,11.26,80.83,1.20,1.57,11823.18,99.72,99.83,0.00,17.00,0.00,99.85,0.00,0.00,,100.00,0.00,,6392.63,88.65,0.574,0.14,0.33,,,155.92,,155.9204,155.92,0.46
,"14 Jan 23","405-52-930830-101",100.00,10.94,273.62,0.76,2.76,10635.70,99.95,99.96,0.00,7.00,0.00,99.70,0.00,0.00,,100.00,0.00,,5239.86,93.33,0.662,3.07,0.89,,,159.85,,159.8465,159.85,0.18
,"15 Jan 23","405-52-930830-101",100.00,10.85,279.99,0.94,2.77,13555.70,99.84,99.84,0.00,9.00,0.00,99.84,0.00,0.00,,100.00,0.00,,6471.13,95.85,0.624,0.32,0.12,,,190.23,,190.2313,190.23,0.25
"BH_ZQ_F1_OM_BHMAP-15C_C","11 Jan 23","405-52-930830-33",98.61,10.41,487.85,108.50,8.37,7025.78,99.95,99.93,2.00,602.00,0.33,95.43,0.00,0.00,,100.00,0.00,,1571.10,96.47,0.694,0.02,0.02,,,110.75,110.75,110.7513,110.75,0.49
,"12 Jan 23","405-52-930830-33",98.66,10.53,415.63,129.93,8.77,6893.00,100.00,99.90,0.00,608.00,0.00,35.94,0.00,0.00,,99.73,0.00,,3873.52,88.22,0.641,0.25,0.02,,,86.10,86.10,86.1033,86.10,1.29
,"13 Jan 23","405-52-930830-33",100.00,10.34,402.67,112.84,7.00,7604.04,99.87,99.89,0.00,647.00,0.00,98.72,0.00,0.00,,100.00,0.00,,1657.88,97.72,0.663,0.03,0.02,,,121.22,121.22,121.2238,121.22,0.10
,"14 Jan 23","405-52-930830-33",100.00,11.20,576.35,105.47,10.11,5559.96,99.90,99.92,0.00,510.00,0.00,97.43,0.00,0.00,,100.00,0.00,,6577.34,65.03,0.754,0.03,0.02,,,91.84,91.84,91.8350,91.84,0.17
,"15 Jan 23","405-52-930830-33",100.00,11.23,3235.37,93.64,9.17,5302.25,99.92,99.96,0.00,396.00,0.00,97.58,0.00,0.00,,100.00,0.00,,6065.33,68.03,0.655,0.06,0.06,,,80.28,80.28,80.2843,80.28,0.05
"BH_ZQ_F1_OM_BHMEE-16A_A","11 Jan 23","405-52-930483-31",59.24,9.25,558.65,2.86,9.40,3223.69,99.96,99.91,0.00,43.00,0.00,100.00,0.00,0.00,,100.00,0.00,,6955.86,54.02,1.668,0.23,0.05,,,31.25,31.25,31.2516,31.25,0.00
,"12 Jan 23","405-52-930483-31",34.38,9.01,332.88,0.79,8.85,3536.54,100.00,99.98,0.00,3.00,0.00,97.22,0.00,0.00,,100.00,0.00,,7683.44,59.73,1.669,0.06,0.09,,,8.11,8.11,8.1116,8.11,0.00
,"13 Jan 23","405-52-930483-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-930483-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-930483-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BH_ZQ_F1_OM_BHMEE-16B_B","11 Jan 23","405-52-930483-32",59.25,8.21,235.03,36.18,7.82,4241.24,99.88,99.87,0.00,346.00,0.00,99.69,0.00,0.00,,100.00,0.00,,1041.67,94.53,1.274,0.07,0.11,,,55.80,55.80,55.8033,55.80,0.04
,"12 Jan 23","405-52-930483-32",34.38,9.44,457.86,2.30,8.59,4277.87,99.93,99.81,0.00,40.00,0.00,98.58,0.00,0.00,,100.00,0.00,,5927.88,68.50,1.140,0.35,0.17,,,20.42,20.42,20.4162,20.42,0.00
,"13 Jan 23","405-52-930483-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-930483-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-930483-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BH_ZQ_F1_OM_BHMEE-16C_C","11 Jan 23","405-52-930483-33",59.25,11.40,713.04,16.82,6.42,4869.82,99.76,99.92,0.00,205.00,0.00,99.45,0.00,0.00,,100.00,0.00,,9717.09,55.40,0.433,0.01,0.04,,,29.83,29.83,29.8336,29.83,0.15
