"Short name",,"4G_ECGI","Radio NW Availability","E-UTRAN Average CQI [CDBH]","UL User Throughput_Kbps [CDBH]","VoLTE Traffic_24Hrs","UL PUCCH SINR [CDBH]","Data Volume DL - Total [MB] [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","VoLTE DCR_Nom [CBBH]","VoLTE DCR_Denom [CBBH]","VoLTE DCR [CBBH]","PS handover success rate [LTE Intra System] [CDBH]","VoLTE SRVCC SR_Nom [CBBH]","VoLTE SRVCC SR_Denom [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE SRVCC SR_Denom","VoLTE SRVCC SR","DL User Throughput_Kbps [CDBH]","Average number of used DL PRBs [CDBH]","Average UE Distance_KM [CDBH]","VoLTE Packet Loss DL [CBBH]","VoLTE Packet Loss UL [CBBH]","4G Data Volume_L1800 [GB]","4G Data Volume_L900 [GB]","MV_4G Data Volume_GB_TDD","4G Data Volume_L2100 [GB]","MV_4G Data Volume_GB","4G Data Volume [GB]","PS Drop Call Rate % [CDBH]"
,"12 Jan 23","405-52-820604-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820604-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820604-12",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820604-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Nokia-BIH12-PLMN-PLMN/MRBTS-820604/LNBTS-820604/LNCEL-13","11 Jan 23","405-52-820604-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820604-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820604-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820604-13",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820604-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-820377/LNBTS-820377/LNCEL-11","11 Jan 23","405-52-820377-11",49.87,11.67,233.50,7.46,1.32,3395.41,99.85,99.23,0.00,39.00,0.00,100.00,0.00,0.00,,98.63,0.00,,21649.81,24.65,0.403,0.22,0.12,,,17.99,,17.9889,17.99,
,"12 Jan 23","405-52-820377-11",74.89,11.63,176.13,44.66,0.92,10284.56,99.91,98.93,0.00,202.00,0.00,100.00,0.00,0.00,,100.00,0.00,,10482.12,69.47,0.228,0.15,0.19,,,56.49,,56.4863,56.49,
,"13 Jan 23","405-52-820377-11",100.00,10.78,238.48,62.17,1.60,11317.95,99.91,99.50,0.00,168.00,0.00,86.11,0.00,0.00,,100.00,0.00,,7959.44,77.90,0.299,0.08,0.10,,,95.67,,95.6733,95.67,
,"14 Jan 23","405-52-820377-11",95.79,10.71,182.90,38.20,1.32,5031.12,99.62,99.41,0.00,131.00,0.00,100.00,0.00,0.00,,100.00,0.00,,11089.15,47.40,0.417,0.06,0.02,,,59.67,,59.6684,59.67,
,"15 Jan 23","405-52-820377-11",100.00,9.84,558.97,38.22,6.49,5440.38,99.93,99.11,0.00,85.00,0.00,100.00,0.00,0.00,,100.00,0.00,,8305.75,59.52,0.254,0.04,0.02,,,63.40,,63.4019,63.40,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-820377/LNBTS-820377/LNCEL-12","11 Jan 23","405-52-820377-12",49.87,10.74,725.36,8.70,2.24,6056.63,99.79,99.28,0.00,70.00,0.00,91.43,0.00,0.00,,100.00,0.00,,14348.68,47.83,0.309,0.06,0.05,,,25.54,,25.5371,25.54,
,"12 Jan 23","405-52-820377-12",72.34,11.79,110.39,46.65,0.90,9618.22,98.79,99.07,1.00,154.00,0.65,100.00,0.00,0.00,,100.00,0.00,,12840.26,65.40,0.207,0.74,1.18,,,69.19,,69.1906,69.19,
,"13 Jan 23","405-52-820377-12",100.00,11.15,195.97,78.15,1.21,8737.31,99.93,99.77,0.00,180.00,0.00,96.67,0.00,0.00,,99.47,0.00,,11618.08,64.85,0.209,0.20,0.51,,,103.59,,103.5916,103.59,
,"14 Jan 23","405-52-820377-12",95.78,11.16,637.31,45.79,7.61,6437.79,99.87,99.78,0.00,108.00,0.00,94.20,0.00,0.00,,100.00,0.00,,10805.80,57.88,0.315,0.02,0.01,,,70.33,,70.3349,70.33,
,"15 Jan 23","405-52-820377-12",100.00,9.58,330.57,33.48,7.05,5567.86,99.94,99.68,0.00,107.00,0.00,85.37,0.00,0.00,,100.00,0.00,,5555.76,67.62,0.585,0.01,0.01,,,74.10,,74.0966,74.10,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-820377/LNBTS-820377/LNCEL-13","11 Jan 23","405-52-820377-13",49.87,9.97,220.34,4.88,1.04,2901.70,100.00,99.81,0.00,7.00,0.00,100.00,0.00,0.00,,100.00,0.00,,15956.73,27.98,0.280,0.02,0.06,,,14.36,,14.3568,14.36,
,"12 Jan 23","405-52-820377-13",74.89,11.76,42.93,55.11,0.52,5665.70,98.31,99.17,1.00,188.00,0.53,90.00,0.00,0.00,,97.24,0.00,,29819.00,26.43,0.303,0.04,0.37,,,30.12,,30.1203,30.12,
,"13 Jan 23","405-52-820377-13",100.00,11.15,118.61,77.68,0.97,9831.38,99.73,98.79,0.00,224.00,0.00,100.00,0.00,0.00,,100.00,0.00,,14199.98,63.02,0.257,0.01,0.02,,,114.21,,114.2149,114.21,
,"14 Jan 23","405-52-820377-13",95.79,10.76,479.40,44.44,5.62,5934.19,99.89,99.78,0.00,151.00,0.00,96.77,0.00,0.00,,100.00,0.00,,9852.98,56.30,0.290,0.02,0.01,,,74.27,,74.2740,74.27,
,"15 Jan 23","405-52-820377-13",100.00,9.21,273.63,27.35,5.27,5528.03,98.67,98.85,0.00,51.00,0.00,97.22,0.00,0.00,,100.00,0.00,,4571.39,70.30,0.287,0.03,0.01,,,71.63,,71.6277,71.63,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-930096/LNBTS-930096/LNCEL-191","11 Jan 23","405-52-930096-191",99.87,8.48,114.77,89.02,5.35,993.97,98.71,99.33,0.00,165.00,0.00,,0.00,0.00,,96.30,0.00,,3059.17,41.33,1.545,0.15,0.80,,9.39,0.00,,9.3926,9.39,
,"12 Jan 23","405-52-930096-191",100.00,6.96,110.94,90.89,0.93,578.71,99.62,99.80,0.00,135.00,0.00,,0.00,0.00,,100.00,0.00,,1040.47,49.90,1.535,0.09,0.42,,8.22,0.00,,8.2195,8.22,
,"13 Jan 23","405-52-930096-191",100.00,7.08,172.51,92.41,1.85,550.73,99.08,99.75,0.00,167.00,0.00,100.00,0.00,0.00,,100.00,0.00,,523.69,47.90,1.443,0.12,0.55,,8.47,0.00,,8.4686,8.47,
,"14 Jan 23","405-52-930096-191",100.00,7.68,69.08,91.33,0.85,1066.81,95.67,99.02,0.00,123.00,0.00,100.00,0.00,0.00,,100.00,0.00,,950.60,65.92,1.463,0.12,0.18,,10.20,0.00,,10.2035,10.20,
,"15 Jan 23","405-52-930096-191",100.00,7.51,129.17,89.30,1.65,571.31,99.75,99.71,0.00,190.00,0.00,,0.00,0.00,,100.00,0.00,,708.62,48.33,1.515,0.05,0.20,,8.65,0.00,,8.6510,8.65,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-930096/LNBTS-930096/LNCEL-192","11 Jan 23","405-52-930096-192",99.87,9.63,2407.17,41.54,2.76,249.78,93.75,98.97,0.00,43.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1339.89,23.10,1.229,0.08,0.11,,2.77,0.00,,2.7710,2.77,
,"12 Jan 23","405-52-930096-192",100.00,8.20,161.43,57.07,1.93,762.16,99.22,99.39,0.00,72.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1355.70,57.77,1.058,0.19,0.24,,4.52,0.00,,4.5249,4.52,
,"13 Jan 23","405-52-930096-192",100.00,8.40,151.88,55.64,2.84,379.76,98.39,99.29,0.00,94.00,0.00,100.00,0.00,0.00,,100.00,0.00,,1326.48,36.33,1.150,0.10,0.33,,3.15,0.00,,3.1540,3.15,
,"14 Jan 23","405-52-930096-192",100.00,8.19,150.67,62.63,1.38,469.61,93.12,97.40,0.00,36.00,0.00,,0.00,0.00,,100.00,0.00,,1172.79,44.45,1.224,0.07,0.22,,3.44,0.00,,3.4447,3.44,
,"15 Jan 23","405-52-930096-192",100.00,9.53,185.57,59.72,4.31,474.94,100.00,99.37,0.00,74.00,0.00,,0.00,0.00,,100.00,0.00,,3207.09,26.65,1.150,0.05,0.22,,3.49,0.00,,3.4894,3.49,
"@Nokia-BIH13-PLMN-PLMN/MRBTS-930096/LNBTS-930096/LNCEL-193","11 Jan 23","405-52-930096-193",99.87,7.21,135.03,155.01,0.07,1379.15,99.38,99.97,1.00,221.00,0.45,,0.00,0.00,,98.61,0.00,,468.10,95.30,1.432,0.14,0.74,,21.42,0.00,,21.4154,21.42,
,"12 Jan 23","405-52-930096-193",100.00,7.61,88.06,154.25,1.37,1547.36,98.02,98.52,1.00,282.00,0.35,100.00,0.00,0.00,,96.05,0.00,,479.77,95.55,1.348,0.10,0.42,,27.93,0.00,,27.9272,27.93,0.00
,"13 Jan 23","405-52-930096-193",100.00,7.56,224.64,156.59,1.65,1424.33,99.79,99.57,0.00,231.00,0.00,100.00,0.00,0.00,,98.24,0.00,,807.11,85.60,1.453,0.06,0.34,,25.40,0.00,,25.3997,25.40,0.00
,"14 Jan 23","405-52-930096-193",100.00,7.88,287.99,176.74,1.02,1542.36,99.78,99.71,2.00,156.00,1.28,100.00,0.00,0.00,,98.46,0.00,,700.27,89.75,1.458,0.07,0.53,,25.19,0.00,,25.1917,25.19,
,"15 Jan 23","405-52-930096-193",100.00,7.63,157.93,160.98,1.05,1408.70,98.68,99.77,0.00,228.00,0.00,100.00,0.00,0.00,,99.44,0.00,,885.57,86.22,1.388,0.05,0.16,,21.20,0.00,,21.1967,21.20,
"@Nokia-BIH6-PLMN-PLMN/MRBTS-820363/LNBTS-820363/LNCEL-11","11 Jan 23","405-52-820363-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820363-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820363-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820363-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820363-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Nokia-BIH6-PLMN-PLMN/MRBTS-820363/LNBTS-820363/LNCEL-12","11 Jan 23","405-52-820363-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820363-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820363-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820363-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820363-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Nokia-BIH6-PLMN-PLMN/MRBTS-820363/LNBTS-820363/LNCEL-13","11 Jan 23","405-52-820363-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12 Jan 23","405-52-820363-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-820363-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-820363-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15 Jan 23","405-52-820363-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-101","11 Jan 23","405-52-931051-101",37.38,10.89,88.72,0.90,0.06,5415.32,97.79,96.74,0.00,13.00,0.00,99.71,0.00,0.00,,100.00,0.00,,10769.76,49.80,0.666,0.52,3.54,,,42.87,,42.8701,42.87,2.00
,"12 Jan 23","405-52-931051-101",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13 Jan 23","405-52-931051-101",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14 Jan 23","405-52-931051-101",36.00,10.27,267.58,1.15,1.96,6146.28,99.84,49.81,4.00,27.00,14.81,99.82,0.00,0.00,,79.17,0.00,,6038.24,69.85,0.697,0.29,0.18,,,42.47,,42.4667,42.47,3.73
,"15 Jan 23","405-52-931051-101",100.00,10.09,216.77,2.51,2.21,7424.69,99.67,99.58,0.00,45.00,0.00,99.81,0.00,0.00,,100.00,0.00,,3917.38,83.22,0.727,0.06,0.11,,,109.99,,109.9915,109.99,3.38
"@Nokia-BIH8-PLMN-PLMN/MRBTS-931051/LNBTS-931051/LNCEL-102","11 Jan 23","405-52-931051-102",37.38,10.50,703.80,1.33,1.70,4581.99,99.93,99.87,0.00,22.00,0.00,99.68,0.00,0.00,,100.00,0.00,,12230.66,45.23,0.821,0.12,1.21,,,37.49,,37.4943,37.49,0.58
,"12 Jan 23","405-52-931051-102",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
