Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,27-Apr-23,99.99,99.92,0.03,11659.99,438.72,88.01,100,9.45,-112.5,0,93.91,100,100,100,0.74,0.16,31.9454,0.57,65.97,,,103845,117990,179330,190965,0,3,197,197,11,11,,185,16,11960
,28-Apr-23,99.95,99.74,0.05,12403.28,325.35,88.73,100,9.73,-113.06,0,96.03,100,100,100,0.02,0.03,78.1455,1.92,58.58,,,71568,80656,198795,207021,0,5,32,32,1,1,,29,2,9622
CH_E_T2_OM_BELLS6C_C,24-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27-Apr-23,99.96,99.85,0.08,6963.82,249.46,98.39,100,8.76,-112.3,0,97.41,100,100,100,0.16,0.01,37.8258,1.3,87.57,,,185318,188356,589628,605284,0,10,163,163,17,17,,144,3,12038
,28-Apr-23,99.98,99.88,0.07,11874.4,475.41,96.81,100,9.11,-113.57,0,99.8,100,96.43,93.75,0.46,0.07,105.8726,2.32,65.9,,,115230,119025,256035,256542,0,7,247,247,27,28,,224,14,9481
CH_ZQ_T1_OM_ANNA25A_A,24-Apr-23,99.97,99.93,0.16,3612.87,827.65,99.84,0,7.43,,0,99.21,100,100,100,0.17,0.29,7.199,0.76,33.45,-114.86,0,,,,,,,,,,,3,,,
,25-Apr-23,99.93,99.82,0.04,3060.89,697.21,100,0,7.26,,0,99.7,100,100,100,0.12,0.22,7.3961,1.14,39.03,-114,0,,,,,,,,,,,1,,,
,26-Apr-23,100,100,0.03,3966.04,608.8,99.81,0,6.71,,0,100,100,100,100,0.28,0.03,9.3144,0.81,43.32,-113.59,0,,,,,,,,,,,1,,,
,27-Apr-23,100,99.93,0.09,3134.47,768.7,100,0,7.28,,0,98.55,85.71,100,,0.01,0,9.4698,1.8,51.56,-113.26,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0.07,7253.9,589.14,100,,7.77,,0,100,100,100,,0.04,3.85,9.4555,0.73,26.1,-112.4,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_ANNA25B_B,24-Apr-23,99.87,100,0.05,7867.49,896.28,99.87,0,8.95,,0,99.79,100,100,,0,0,21.9739,1.13,48.73,-114.79,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0.04,9791.62,648.12,99.87,0,8.48,,0,99.22,100,100,,0.01,0.03,20.7047,0.59,45.14,-114.63,0,,,,,,,,,,,0,,,
,26-Apr-23,99.97,99.93,0.06,4865.57,1017.99,99.88,0,8.57,,0,100,100,100,,0.02,0,20.408,1.67,50.75,-114.67,0,,,,,,,,,,,0,,,
,27-Apr-23,99.98,99.93,0.08,6373.3,694.77,99.9,0,8.31,,0,99.71,100,100,,0.05,0.01,21.2337,0.98,44.34,-114.38,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.89,0.06,11212.26,1921,100,,11.07,,0,100,100,100,,0.01,0.17,21.3039,0.55,36.07,-114.34,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_ANNA25C_C,24-Apr-23,99.92,100,0,12042.97,1025.4,100,0,7.95,,0,99.33,95.65,100,100,0.16,0.07,9.3282,0.45,20.68,-115.9,0,,,,,,,,,,,1,,,
,25-Apr-23,100,99.97,0.03,8345.03,634.32,98.48,0,8.84,,0,99.64,100,,,0,0,14.213,1.73,41.13,-115.74,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,17045.75,440.29,100,,10.11,,0,96.88,100,100,,0,0.02,17.0222,0.41,26.76,-115.1,,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,7297.74,1274.06,100,0,8.34,,0,99.57,100,100,,0.06,7.46,14.0391,0.27,37.96,-115.56,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,43366.3,1278.34,100,0,9.98,,0,100,100,100,,0.1,0.62,14.3882,0.26,12.26,-114.48,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_ANNA25D_D,24-Apr-23,99.93,99.93,0.07,11396.84,908.66,99.77,0,9.65,,0,99.78,100,100,100,0.04,0.03,21.8428,1.22,36.32,-114.9,0,,,,,,,,,,,2,,,
,25-Apr-23,100,99.94,0.06,7716.38,585.81,100,0,9.26,,0,98.83,100,100,,0,0.06,22.5947,1.23,42.17,-115.2,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0.03,7326.05,709.96,100,0,9.31,,0,99.3,100,100,,0.01,0.16,24.335,1.38,51.77,-114.9,0,,,,,,,,,,,0,,,
,27-Apr-23,99.95,99.98,0.04,7805.74,767.39,100,0,9.44,,0,99.35,100,,,0.2,0.05,27.0281,1.21,42.16,-114.9,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0.1,6980.77,438.82,99.31,0,9.03,,0,99.81,100,100,100,0.02,0.1,27.2917,1.5,48.43,-114.19,0,,,,,,,,,,,1,,,
CH_ZQ_T1_OM_ANNA34A_A,24-Apr-23,99.85,99.61,0.28,995.11,579.23,99.92,0,7.03,,0,100,100,100,,0.16,0.25,20.1034,1.29,94.3,-113.25,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.19,0.38,1758.52,649.38,100,0,7.77,,0,100,100,100,,0.04,0.06,20.1401,1.28,87.43,-112.61,0,,,,,,,,,,,0,,,
,26-Apr-23,99.93,99.04,0.31,2505.95,887.29,100,0,8.22,,0,100,100,100,,0.2,0.16,18.3287,1.27,75.97,-112.66,0,,,,,,,,,,,0,,,
,27-Apr-23,99.77,99.18,0.28,2680.71,725.66,100,0,8.07,,0,100,100,100,,0.01,0.03,19.8171,1.14,82.61,-112.72,0,,,,,,,,,,,0,,,
,28-Apr-23,99.85,99.31,0.27,2034.3,577.84,100,0,7.72,,0,99.56,100,100,,0.07,0.09,14.012,1.14,85.91,-108.58,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_ANNA34B_B,24-Apr-23,99.88,100,0.36,5149.47,517.06,100,0,8.86,,0,100,100,100,,0.01,0.1,11.8193,0.57,45.03,-114.21,0,,,,,,,,,,,0,,,
