Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
CH_ZQ_T1_OM_CWM226A_A,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_CWM226B_B,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_CWM226C_C,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_MANI22A_A,24-Apr-23,100,100,0,5181.01,915.9,100,0,8.53,,0,92.21,100,100,100,0,0.2,5.7985,0.15,22.25,-117.48,0,,,,,,,,,,,2,,,
,25-Apr-23,100,99.89,0,5819.44,986.56,99.32,0,9.01,,0,86.67,100,,,0.14,0,6.7666,0.15,29.33,-116.55,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,10140.53,400.48,99.35,0,8.57,,0,89.8,100,100,,0,0,6.5421,0.16,20.56,-116.43,0,,,,,,,,,,,0,,,
,27-Apr-23,99.77,100,0,6636.09,581.42,100,0,8.52,,0,93.44,100,100,100,0.07,0,4.545,0.13,16.13,-116.63,0,,,,,,,,,,,3,,,
,28-Apr-23,100,100,0,8318.95,311.58,98.51,,8.07,,0,93.33,100,100,,0.06,0,4.0986,0.14,20.06,-114.44,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_MANI22B_B,24-Apr-23,100,100,0,8557.45,863.63,100,,8.12,,0,99.22,100,100,,0.03,0,8.8355,0.14,46.56,-117.82,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,6497.45,908.36,100,0,7.72,,0,100,100,,100,0,0.01,9.6306,0.37,37.61,-117.61,0,,,,,,,,,,,1,,,
,26-Apr-23,100,99.8,0,10803.88,858.99,100,0,8.48,,0,100,100,100,,0.15,0,10.3574,0.08,28.28,-117.07,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,5356.67,1109.39,100,,7.79,,,100,100,,,0,0,10.7078,0.05,50.19,-115.06,,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,4109.63,735.62,99.29,,7.29,,0,100,100,,,0,0,10.9515,0.08,46.69,-114.45,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_MANI22C_C,24-Apr-23,99.96,100,0.04,3678.62,585.8,99.58,0,8.38,,,99.19,100,100,,0,0.01,42.6506,0.9,79.18,-115.14,0,,,,,,,,,,,0,,,
,25-Apr-23,99.94,99.93,0.03,3513.1,834.22,100,0,8.66,,0,100,100,100,100,0.01,0,37.9459,1.18,77.09,-115.04,0,,,,,,,,,,,1,,,
,26-Apr-23,99.96,99.92,0,4016.9,746.36,99.33,0,8.71,,0,100,100,100,100,0,0.05,40.8886,1.21,76.15,-114.37,0,,,,,,,,,,,1,,,
,27-Apr-23,100,99.79,0.02,3714.92,665.35,100,0,8.5,,0,92.91,100,100,,0.02,0,34.0113,0.54,79.36,-114.13,0,,,,,,,,,,,0,,,
,28-Apr-23,99.92,99.96,0,6820.14,476.9,100,0,8.19,,0,99.08,100,100,100,0,0.1,43.9268,0.8,64.71,-113.11,0,,,,,,,,,,,1,,,
CH_ZQ_T1_OM_MANI22D_D,24-Apr-23,100,99.58,0,7988.66,353.69,100,0,8.58,,0,97.87,92.86,100,,0,0,6.2268,0.06,30,-117.97,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,8208.54,1590.51,100,,8.54,,0,97.06,100,,,0,0,4.8148,0.07,15.87,-117.94,,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,5228.39,2798.21,99.56,,8.62,,0,98.08,100,100,,0,0,3.6998,0.07,16.6,-117.38,,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,8366.89,466.69,100,0,8.28,,0,97.14,100,,,0,0,2.8843,0.05,15.45,-117.16,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,7789.43,480.41,100,0,9.05,,0,100,100,100,,0.02,0,4.0082,0.33,14.76,-115.81,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_PATT30A_A,24-Apr-23,100,100,0,9040.34,585.44,100,,8.26,,0,100,100,100,,0.03,0,6.9515,0.26,20.48,-117.97,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,9876.82,1139.3,100,0,8.99,,0,100,100,,,0.01,0,8.4045,0.62,28.07,-117.66,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,15365.41,829.7,100,0,9.74,,0,100,100,,,0.04,0.01,11.1787,0.56,25.83,-117.4,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0.13,8463.22,618.66,100,0,8.79,,,100,100,100,,0,0,15.7764,0.74,51.94,-117.26,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,6874.77,1064.09,100,,8.1,,0,100,100,,100,0,0.03,9.9844,1.02,33.65,-116.98,,,,,,,,,,,,1,,,
CH_ZQ_T1_OM_PATT30B_B,24-Apr-23,99.78,99.84,0.02,2749.09,389.5,99.32,0,8.03,,0,94.08,100,100,,0.07,0.82,55.4768,3.77,92.93,-114.12,0,,,,,,,,,,,0,,,
,25-Apr-23,99.9,99.92,0,2306.52,326.16,99.31,0,8,,0,99.85,100,100,,0.07,0.37,55.8936,4.95,94.41,-113.75,0,,,,,,,,,,,0,,,
,26-Apr-23,99.96,99.88,0.02,3922,335.04,99.22,0,8.34,,4.55,99.7,100,100,,0.16,0.68,55.3299,3.61,77.96,-112.09,0,,,,,,,,,,,0,,,
,27-Apr-23,99.95,99.71,0,2450.23,578.19,99.48,0,7.61,,0,99.65,100,100,,0.02,0.04,59.8288,3.34,93.58,-113.75,0,,,,,,,,,,,0,,,
,28-Apr-23,98.84,99.74,0,3384.36,134.82,99.09,0,8.06,,0,99.85,100,100,,0.07,0.02,65.7202,5.39,83.73,-111.72,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_PATT30B_M,24-Apr-23,100,100,0,9857.93,1127.72,100,,9.27,,0,100,100,100,,0,0,2.5487,0.04,14.49,-118.19,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,6248.19,1033.79,100,0,8.24,,0,100,100,,,0,0,3.0299,0.02,16.77,-118.03,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,4028.53,418.4,100,0,7.26,,0,100,100,,,0,0,2.2222,0.02,37.42,-117.74,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,22715.23,1412.3,100,,11.35,,,100,100,100,,0,0,3.7403,0.02,5.43,-117.93,,,,,,,,,,,,0,,,
,28-Apr-23,99.48,100,0,3737.15,1040.07,100,0,6.96,,,100,100,,,0,0,3.0527,0.01,35.6,-117.41,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_PATT30C_C,24-Apr-23,99.93,99.75,0,4142.48,637.43,99.04,0,7.32,,0,99.45,100,100,,0,0.01,16.1432,0.91,60.12,-115.33,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.76,0,3491.68,467.87,100,0,7.2,,0,100,100,100,,0.05,0,18.6655,1.19,50.57,-114.91,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,4628.05,842.85,100,0,8.16,,0,100,100,100,,0.03,0,14.9011,0.95,29.39,-114.02,0,,,,,,,,,,,0,,,
,27-Apr-23,99.94,100,0,4080.82,565.74,100,0,7.45,,0,99.73,100,100,,0.06,0.01,17.0224,1.32,67.52,-114.36,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,8874.43,482.56,99.1,0,7.63,,0,100,100,100,,0.09,0.03,21.5906,1.9,35.62,-112.91,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_PATT30D_D,24-Apr-23,99.92,100,0.09,3025.12,265.19,99.38,0,7.48,,0,98.98,100,100,,0.18,0.02,29.0212,0.44,86.59,-115.62,0,,,,,,,,,,,0,,,
,25-Apr-23,99.9,99.78,0,2255.85,165.85,99.7,0,7.18,,0,99.61,100,100,100,0.5,0.13,28.6971,0.57,84.37,-114.85,0,,,,,,,,,,,1,,,
,26-Apr-23,99.84,99.76,0,7105.57,256,97.67,,8.34,,0,100,100,85.71,,0.11,4.69,25.4972,0.35,45.82,-114.36,,,,,,,,,,,,0,,,
,27-Apr-23,99.85,99.87,0.1,2882.66,187.72,100,0,7.27,,0,100,100,,,0.07,0.21,28.0185,0.51,80.82,-113.74,0,,,,,,,,,,,0,,,
,28-Apr-23,99.62,99.62,0.02,5167.12,119.18,98.82,0,7.51,,0,99.49,100,100,,0.11,11.2,29.1122,0.33,67.76,-113.02,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_VALU12A_A,24-Apr-23,99.85,99.97,0,3401.6,623.91,98.94,0,7.75,,0,98.67,100,100,,0.03,0.01,22.4026,2.81,62.34,-114.05,0,,,,,,,,,,,0,,,
,25-Apr-23,99.87,99.95,0,3545.02,514.73,98.97,0,7.28,,0,99.29,98.94,100,,0,0.02,15.4473,1.76,59.64,-114.34,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.89,0.07,4983.23,552.27,99.42,0,7.81,,0,99.74,100,100,,1.17,0.15,18.2356,1.75,61.85,-113.94,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.91,0.02,5475.87,760.55,99.28,0,7.48,,0,99.04,100,100,,0,0.01,17.0189,1.65,48.89,-113.06,0,,,,,,,,,,,0,,,
,28-Apr-23,99.95,100,0,4065.53,929.13,98.12,0,7.34,,0,100,100,100,,0.02,0.04,15.7059,1.3,54.18,-112.48,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_VALU12B_B,24-Apr-23,99.91,99.91,0.03,6032.76,644.51,99.74,0,7.96,,0,95.34,100,100,,0.01,0.02,15.6516,5,39.9,-114.1,0,,,,,,,,,,,0,,,
,25-Apr-23,99.9,99.95,0.1,4539.12,428.63,99.62,0,7.59,,0,96.43,100,100,,0,0.01,9.9736,3.58,47.6,-114.96,0,,,,,,,,,,,0,,,
,26-Apr-23,99.91,99.95,0.11,5122.24,582.69,99.68,0,7.26,,0,94.93,100,100,,0,0.01,11.7149,2.67,51.48,-114.59,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.7,0,7827.38,1211.72,100,0,7.93,,0,96,100,100,,0.01,0.01,13.6744,2.78,51.07,-113.79,0,,,,,,,,,,,0,,,
,28-Apr-23,99.75,100,0.07,8241.4,661.37,100,0,8.1,,0,99.11,100,100,,0.01,0.01,10.3158,3.34,33.49,-113.59,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_VALU12C_C,24-Apr-23,99.94,99.98,0.02,6779.23,613.6,99.76,0,8.24,,0,99.27,100,100,,0.06,0.05,16.7304,1.11,36.25,-115.04,0,,,,,,,,,,,0,,,
,25-Apr-23,99.95,100,0,5910.9,604.92,100,0,7.93,,0,98.97,100,100,,0.03,0,7.9932,0.37,28.28,-115.91,0,,,,,,,,,,,0,,,
,26-Apr-23,99.76,100,0,5204.94,263.47,100,0,7.47,,0,96.3,100,100,,0.03,0.05,7.7008,0.72,29.09,-114.41,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0,12355.12,631.37,100,,7.66,,0,96.47,100,100,,0,0.02,8.8257,0.92,22.67,-115.03,,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,5516.93,428.1,99.76,,8.37,,0,98.37,100,100,,0.04,0.07,6.4087,0.45,31.04,-113.99,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_VALU12D_D,24-Apr-23,100,99.93,0.01,7408.68,579.39,99.78,0,9.7,,0,99,100,100,,0.02,0.03,26.8878,1.71,46.99,-112.7,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.9,0.06,7266.97,1093.38,99.89,0,9.3,,0,99.46,100,100,,0.01,0.05,22.9986,1.33,44.25,-113.68,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.91,0.02,8558.62,746.53,99.9,0,9.49,,0,96.9,100,100,,0.03,0.2,21.595,1.56,46.54,-112.56,0,,,,,,,,,,,0,,,
,27-Apr-23,99.93,99.97,0.03,6217.3,547.74,99.82,0,9.33,,0,100,100,100,,0.01,0.07,21.7921,1.29,57.52,-112.08,0,,,,,,,,,,,0,,,
,28-Apr-23,99.98,99.97,0.02,8377.24,657.32,99.81,0,9.63,,0,99.7,100,100,,0,0.18,19.2671,1.33,43.69,-111.95,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA25A_A,24-Apr-23,99.96,99.88,0.15,4122.84,735.39,100,0,7.25,,0,99.89,100,100,,0.36,0.09,44.9985,4.17,63.17,-111.16,0,,,,,,,,,,,0,,,
,25-Apr-23,99.98,99.94,0.2,4010.19,757.56,99.94,0,7.23,,0,99.83,100,100,,0.19,0.11,44.9212,5.73,62.21,-110.06,0,,,,,,,,,,,0,,,
,26-Apr-23,99.96,99.91,0.09,3206.33,751.42,99.83,0,6.98,,0,99.84,100,100,,0.34,0.13,49.5543,3.96,71.63,-109.95,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.92,0.07,3458.94,842.18,100,0,7.35,,0,99.54,100,100,,0.05,0.06,56.1392,3.4,75.05,-109.98,0,,,,,,,,,,,0,,,
,28-Apr-23,99.95,99.93,0.04,5688.68,1116.16,100,0,7.07,,0,99.75,99.37,100,100,0.07,0.01,59.6867,2.97,62.77,-108.96,0,,,,,,,,,,,1,,,
CH_ZQ_T2_OM_ANNA25B_B,24-Apr-23,99.97,99.88,0.08,5836.47,842.61,99.96,0,8.31,,0,99.65,100,100,,0.04,0.03,138.1535,3.8,83.35,-110.63,0,,,,,,,,,,,0,,,
,25-Apr-23,99.66,94.62,0.09,15893.71,1512.09,100,0,10.06,,0,97.77,100,100,,0.04,0.03,131.0169,3.25,52.08,-109.93,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.94,0.11,13395.44,1781.01,100,0,10.04,,0,100,100,100,,0.01,0.06,127.4315,3.89,60.56,-110.04,0,,,,,,,,,,,0,,,
,27-Apr-23,99.95,99.95,0.09,15446.56,1822.18,100,0,10.25,,0,100,100,100,,0.01,0.01,130.7661,4.65,61.29,-109.96,0,,,,,,,,,,,0,,,
,28-Apr-23,99.96,100,0.05,15512.1,1325.77,99.76,0,9.67,,0,99.74,100,100,,0.04,0.07,126.9639,3.57,62.6,-109.81,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA25C_C,24-Apr-23,99.91,100,0.04,10979.45,849.63,99.86,0,8.1,,,99.59,100,100,,0,0.04,80.1753,4.45,52,-111.94,0,,,,,,,,,,,0,,,
,25-Apr-23,99.93,99.86,0.09,7957.96,615.94,99.68,0,7.79,,0,99.58,100,100,,0.01,0.03,93.273,3.64,69,-111.69,0,,,,,,,,,,,0,,,
,26-Apr-23,99.97,99.99,0.16,10838.03,963.78,100,0,7.84,,0,99.72,100,100,,0.04,0.32,91.4322,5.89,52.56,-111.24,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.97,0.03,12443.3,1589.67,100,0,8.47,,0,99.82,100,,,0.05,0,89.2328,2.78,51.37,-111.5,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.92,0.04,9127.21,1222.73,99.87,0,7.99,,0,99.89,100,100,,0.01,0.24,90.5642,3.89,56.73,-110.57,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA25D_D,24-Apr-23,100,99.98,0.04,13937.88,964.05,100,0,9.14,,0,99.32,100,100,,0.08,0.06,137.5897,4.99,53.6,-111.27,0,,,,,,,,,,,0,,,
,25-Apr-23,99.95,99.97,0.05,10932.3,4664.08,99.73,0,9.05,,0,99.46,100,100,,0.01,0.06,136.7652,5.7,55.77,-111.06,0,,,,,,,,,,,0,,,
,26-Apr-23,99.93,99.96,0.07,7120.48,771.22,99.93,0,9,,0,99.87,100,100,,0.06,0.83,136.0589,5.58,74.3,-110.91,0,,,,,,,,,,,0,,,
,27-Apr-23,99.96,99.92,0.07,8748.66,773.06,99.68,0,8.9,,0,99.77,100,95.24,,0.11,0.42,132.2154,4.28,66.51,-111.04,0,,,,,,,,,,,0,,,
,28-Apr-23,99.95,99.91,0.12,7255.28,845.03,99.58,0,8.74,,0,99.92,100,100,,0.06,0.03,139.1184,4.87,71.72,-110.27,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA34A_A,24-Apr-23,99.92,97.69,0.15,664.61,513.57,100,0,7.67,,0,99.83,100,100,,0.04,1.13,86.5344,17.35,94.46,-107.71,0,,,,,,,,,,,0,,,
,25-Apr-23,99.95,97.35,0.25,1298.62,670.66,100,0,8.15,,0.94,99.92,100,100,,0.09,0.1,80.6093,15.71,94.69,-106.98,0,,,,,,,,,,,0,,,
,26-Apr-23,99.96,99.64,0.24,2463.69,1007.79,100,0,8.48,,0.77,99.9,100,100,,0.07,0.04,79.7345,15.34,92.02,-107.54,0,,,,,,,,,,,0,,,
,27-Apr-23,99.96,99.68,0.12,2035.26,945.92,99.96,0,8.44,,0,100,100,100,,0.04,0.05,78.7448,15.27,93.25,-107.12,0,,,,,,,,,,,0,,,
,28-Apr-23,99.93,99.71,0.15,2929.94,1500,99.95,0,8.19,,0,99.9,100,100,,0.05,0.08,62.019,10.98,94.2,-104.24,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA34B_B,24-Apr-23,99.96,99.91,0.11,5715.21,546.76,100,0,8.75,,0.89,100,100,100,,0.03,0.02,77.7153,18.38,73.01,-107.21,0,,,,,,,,,,,0,,,
,25-Apr-23,99.98,99.92,0.06,4579.68,674.74,99.93,0,8.8,,0,100,100,100,,0.06,0.07,78.1904,19.27,69.53,-107.13,0,,,,,,,,,,,0,,,
,26-Apr-23,99.94,99.93,0.12,4669.28,649.67,100,0,8.62,,0,99.63,99.86,100,,0.02,0.14,80.1121,18.48,74.75,-106.61,0,,,,,,,,,,,0,,,
,27-Apr-23,99.93,99.95,0.09,4259.19,521.17,99.89,0,8.54,,0,99.72,100,97.67,,0.04,0.03,67.1479,14.6,77.36,-106.55,0,,,,,,,,,,,0,,,
,28-Apr-23,99.95,99.81,0.07,4086.8,680.23,100,0,8.44,,0,99.91,100,100,,0.08,0.07,54.5454,13.62,77.15,-103.08,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_ANNA34C_C,24-Apr-23,99.97,99.88,0.07,7556.28,564.47,100,0,8.57,,0,99.71,100,100,,0.05,0.26,68.2731,6.77,51.73,-107.41,0,,,,,,,,,,,0,,,
,25-Apr-23,99.93,99.89,0.1,6491.53,636.12,100,0,8.37,,0,99.73,100,100,,0.01,0.01,64.7485,6.63,58.8,-107.16,0,,,,,,,,,,,0,,,
,26-Apr-23,99.96,99.9,0.07,6174.23,629.32,100,0,8.32,,0,99.56,100,100,,0.02,0.04,59.5026,12.43,52.2,-106.92,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0.04,7519.88,526.4,100,0,8.22,,0,99.73,100,100,,0.01,0.15,51.6835,9.45,50.21,-106.73,0,,,,,,,,,,,0,,,
,28-Apr-23,99.97,99.56,0.09,6530.99,572.38,99.76,0,8.89,,0,99.68,100,100,,0.02,0.13,51.3606,7.64,65.31,-104.2,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BELLS6A_A,24-Apr-23,99.9,99.95,0.08,9364.37,934.07,98.91,0,7.75,,0,100,100,90,,0.01,0.01,17.6988,5.19,39.88,-113.53,0,,,,,,,,,,,0,,,
,25-Apr-23,99.89,100,0.03,8672.47,678.97,99.36,0,7.92,,0,100,100,100,,0.01,0,40.4694,6.03,48.88,-114.6,0,,,,,,,,,,,0,,,
,26-Apr-23,99.9,100,0.1,10174.02,712.03,100,0,6.83,,8.33,100,100,80,,0.03,0.01,27.7478,3.6,31.84,-114.94,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.88,0.14,24323.69,773.86,94.81,0,7.05,,0,99.34,100,100,,0.11,0.02,17.6521,1.02,32.46,-114.91,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6A_L,24-Apr-23,100,99.84,0.28,11006.05,359.66,98.89,0,8.4,,0,100,100,100,,0.03,0.08,10.3842,5.35,27.18,-112.35,0,,,,,,,,,,,0,,,
,25-Apr-23,99.88,99.97,0.1,13473.14,782.26,100,0,8.67,,0,94.83,100,100,,0.02,0.21,25.9744,7.32,22.28,-113.24,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.92,0.04,16004.8,867.96,100,,9.47,,0,100,100,100,,0.02,0.03,21.8134,9.31,15.87,-113.15,,,,,,,,,,,,0,,,
,27-Apr-23,99.85,99.96,0.38,11073.84,440.88,99.77,0,8.46,,0,97.7,100,,,0,0.01,7.6109,1.73,12.98,-113.54,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6B_B,24-Apr-23,99.93,99.94,0.07,11922.25,451.69,100,0,8.32,,0,97.6,93.84,100,,0.07,0.05,20.3536,3.51,42.48,-111.68,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.79,0.09,8617.2,589.3,100,0,7.99,,3.57,98.62,100,100,,0.04,0.08,40.0822,10.9,43.58,-112.89,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.92,0.11,9009.31,317.4,100,0,8.01,,0,98.92,100,100,,0.04,0.61,46.1351,7.55,56.95,-112.16,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0.06,12757.62,796.2,100,0,8.51,,0,98.86,100,100,,0.13,0.02,17.8753,3.04,25.92,-112.68,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6C_C,24-Apr-23,99.93,99.98,0.22,7503.2,451.6,99.22,0,7.53,,0,99.45,100,100,,0.03,0.18,25.1875,5.85,62.69,-110.84,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.95,0.03,6384.71,452.34,99.36,0,7.67,,0,99.5,100,100,,0.19,0.06,62.0291,12.44,67.98,-111.31,0,,,,,,,,,,,0,,,
,26-Apr-23,99.94,99.97,0.38,7609.5,328.84,99.44,0,7.63,,0,98,99.32,100,,0.26,1.22,60.8554,13.95,56.48,-111.07,0,,,,,,,,,,,0,,,
,27-Apr-23,99.97,99.86,0.31,7637.69,421.94,100,0,8.09,,0,98.05,100,100,,0.21,0.08,26.7296,5.61,49.23,-111.05,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BHAR19A_A,24-Apr-23,100,99.89,0.01,3727.65,801.87,99.89,0,6.83,,0,98.92,100,100,,0.84,0.5,55.3835,0.8,73.71,-106.63,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.92,0.02,4142.26,439.28,99.71,0,6.29,,0,100,100,,,0.89,0.01,49.2529,0.93,69.51,-106.75,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.85,0.02,3403.02,426.08,99.78,0,6.37,,0,99.78,100,100,,0.11,0.15,45.9634,0.68,72.59,-106.79,0,,,,,,,,,,,0,,,
,27-Apr-23,99.86,99.92,0,6600.78,501.47,100,0,6.57,,0,99.7,99.29,100,,0.04,0,57.8152,0.76,56.51,-105.88,0,,,,,,,,,,,0,,,
,28-Apr-23,99.83,99.89,0,3567.96,246,100,,6.02,,0,99.72,100,100,,0.09,0.02,53.6554,0.71,71.28,-105.76,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19B_B,24-Apr-23,99.98,99.97,0,3984.98,626.75,99.6,0,8.03,,0,99.75,100,100,,0.02,0.03,89.1615,2.32,86.79,-108.45,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,5055.91,550.92,100,0,8.27,,0,100,100,100,100,0.04,0.02,74.0783,3.52,82.64,-108.46,0,,,,,,,,,,,2,,,
,26-Apr-23,99.91,99.97,0,4384.14,659.28,100,,8.3,,0,100,100,100,100,0.05,0.04,72.9689,1.91,80.4,-108.42,,,,,,,,,,,,3,,,
,27-Apr-23,100,99.9,0,5239.85,830.69,99.8,0,8.13,,0,100,100,100,,0.01,0.03,80.9322,3.69,81.55,-108.15,0,,,,,,,,,,,0,,,
,28-Apr-23,99.94,99.97,0,6116.59,456.86,99.77,,8.06,,0,100,100,,,0.01,0.02,76.3137,2.04,73.11,-108.32,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19C_C,24-Apr-23,99.95,99.95,0.03,7738.57,1066.41,99.46,0,7.95,,0,100,100,100,,0.15,0,79.7265,0.81,67,-111.82,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.91,0.01,5704.75,2225.41,99.6,0,7.66,,0,100,100,100,,0.01,0.05,76.8197,0.91,67.15,-112.17,0,,,,,,,,,,,0,,,
,26-Apr-23,99.92,100,0.02,5309.12,800.71,99.89,0,7.34,,0,99.53,100,100,,0.02,0.01,69.7884,0.76,67.32,-111.3,0,,,,,,,,,,,0,,,
