Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
,17-Mar-23,99.62,99.58,0,6087.25,158.02,100,,9.25,-117.54,0,100,100,100,,0.08,7.17,0.3995,0.29
,18-Mar-23,99.55,99.75,0,8592.58,98.17,100,100,9.37,-117.66,0,98.02,100,100,,0.89,12.28,0.9065,0.48
,19-Mar-23,100,100,0.51,6281.24,181.98,100,,8.11,-118.37,0,100,100,100,,0.96,25.77,0.6494,0.47
,20-Mar-23,99.39,100,0,9587.64,327.89,100,,8.03,-117.52,0,100,100,100,,1.02,2.4,0.5499,0.21
CH_E_T1_HS_HPSC0058C_C,16-Mar-23,99.62,99.15,0,3494.19,232.6,100,100,6.32,-117.1,0,100,100,100,,0.23,5.81,0.7895,0.25
,17-Mar-23,99.63,100,0,3231.94,58.87,100,100,6.18,-117.39,0,100,100,100,,1.15,13.33,0.406,0.14
,18-Mar-23,99.52,99.75,0,8405.8,174.42,100,,8.46,-117.56,0,100,100,100,,0.18,1.99,0.8,0.24
,19-Mar-23,100,100,0,12603.19,301.75,100,100,9.55,-118.33,0,100,100,100,,0.89,15.81,1.0188,0.22
,20-Mar-23,100,98.8,0,30392.19,143.86,98.39,,8.77,-117.39,,100,100,100,,4.56,10.45,0.5534,0.19
CH_E_T1_HS_HPSC0079A_A,16-Mar-23,99.83,99.62,0.2,4286.1,289.19,100,0,9.5,-113.65,0,99.65,100,100,100,0.24,0.13,52.3221,2.5
,17-Mar-23,99.79,99.41,0.45,3211.17,301.49,98.5,0,8.86,-114.3,0,98.57,99.77,100,99.55,2.3,0.71,54.3746,2.57
,18-Mar-23,99.93,99.6,0.24,3654.87,356.96,100,0,9.52,-114.4,0,100.53,100,100,100,0.39,0.16,49.5625,2.06
,19-Mar-23,99.84,99.7,0.21,5592.06,478.98,98.48,0,9.25,-115.15,0,100,100,100,100,1.38,0.59,50.9377,1.88
,20-Mar-23,99.91,99.63,0.19,6398.21,580.19,99.08,0,9.27,-114.43,0,99.78,100,,99.19,1.06,0.99,46.2119,2.06
CH_E_T1_HS_HPSC0079B_B,16-Mar-23,98.29,98.49,0.35,5065.52,321.35,93.71,0,6.53,-110.65,0,99.3,100,100,100,4.18,0.36,5.3043,0.33
,17-Mar-23,97.95,97.45,0.29,2248.39,697.91,94,0,4.78,-114.83,0,100,100,,100,0.06,0,3.333,0.3
,18-Mar-23,98.45,98.45,0.34,3787.33,1491.57,95.88,0,5.44,-115.54,0,100,100,100,100,0.21,0,3.2288,0.16
,19-Mar-23,99.31,99.52,0.63,3523.69,212.06,95.42,0,5.99,-115.7,0,99.2,100,100,100,5.86,4.3,3.7703,0.16
,20-Mar-23,98.16,96.79,0.92,4331.02,550,95.12,,5.29,-115.19,,100,100,100,97.06,10.06,0.16,5.1153,0.2
CH_E_T1_HS_HPSC0079C_C,16-Mar-23,99.66,99.29,0.21,4632.86,47.84,97.9,100,8.56,-105.62,0,99.75,100,100,100,1.61,1.96,26.2239,1.58
,17-Mar-23,99.25,99.53,0.17,2385.89,460.1,98.4,100,7.14,-112.4,0,99.68,99.66,100,99.67,1.1,0.76,30.0785,2.37
