Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,25-Apr-23,98.57,99.04,0.32,6978.76,892.07,90.61,0,7.57,-115.29,,2000,96.55,100,100,4.24,1.34,4.6869,0.17,22.62,,,41109,45369,400,20,0,4,28,29,1,1,,28,0,1257
,26-Apr-23,99.39,98.1,0.27,3136.65,153.03,95.97,,5.75,-114.58,0,97.08,100,,100,0.73,0.04,2.9242,0.19,31.23,,,21307,22201,17955,18495,0,2,19,19,0,0,,16,3,738
,27-Apr-23,98.61,96.23,0.85,5076.87,162.74,92.25,0,6.13,-114.2,0,97.73,100,100,100,2.26,0.1,2.8448,0.18,37.03,,,15351,16641,7480,7654,0,6,23,23,1,1,,20,1,703
,28-Apr-23,98.92,99.7,0.72,5333.56,312.73,96.51,,7.11,-113.97,0,100,100,,100,0.97,13.9,3.2187,0.24,19.82,,,7138,7396,9025,9025,0,4,17,17,0,0,,15,2,556
CH_E_T1_HS_HPSC0079C_C,24-Apr-23,99.55,99.56,0.17,3176.58,429.06,97.54,100,7.66,-112.27,0,99.82,100,100,100,2.04,1.11,35.1471,1.92,84.18,,,2710542,2778889,301950,302500,0,13,256,256,6,6,,260,14,7827
,25-Apr-23,99.51,99.29,0.28,2544.78,639.95,96,100,7.94,-112.96,0,102.03,100,100,100,8.21,10.63,24.4762,1.32,74.23,,,1111508,1157776,162006,158782,0,21,188,188,13,13,,191,9,7482
,26-Apr-23,99.48,99.26,0.23,2450.16,331.73,95.73,100,7.66,-112.13,18.18,99.05,100,100,98.89,5.82,9.23,23.7783,1.45,79.11,,,885040,924482,174723,176399,2,17,249,249,3,3,,270,11,7555
,27-Apr-23,99.48,99.3,0.16,2455.42,62.02,97.05,100,6.52,-111.62,0,99.57,100,100,100,3.07,4.25,22.9067,1.32,73.24,,,323120,332929,54990,55225,0,8,209,209,5,5,,228,4,4912
,28-Apr-23,99.51,99.5,0.24,4712.92,64.05,96.77,100,7.68,-111.74,12.5,99.7,100,100,100,4.39,8,24.6611,1.31,73.42,,,834242,862112,108570,108900,1,14,249,249,5,5,,255,8,5721
CH_E_T1_HS_HPSC0113A_A,24-Apr-23,100,100,0,6735.27,470.71,100,,8.89,-117.75,50,100,100,,100,3.51,7.47,3.515,0.16,24.23,,,169,169,8649,8649,1,0,30,30,0,0,,30,2,652
,25-Apr-23,100,100,0,6055.61,694.86,100,,8.01,-117.2,0,100,100,,100,0.25,0.12,5.3441,0.13,27.26,,,144,144,6241,6241,0,0,19,19,0,0,,21,2,527
,26-Apr-23,100,100,0,7047.39,443.05,,100,8.35,-117.24,0,100,95,,100,1.24,1.36,2.8534,0.13,16.03,,,0,0,5625,5625,0,0,19,20,0,0,,21,4,624
,27-Apr-23,99.74,99.41,0,5411.41,446.85,100,100,8.11,-116.81,0,100,100,,100,0.09,0.09,2.9943,0.15,30.36,,,36,36,10609,10609,0,0,20,20,0,0,,24,1,477
,28-Apr-23,100,99.73,0,7860.62,267,100,,8.66,-116.15,0,100,100,,100,0,0,2.6732,0.15,20.8,,,81,81,3969,3969,0,0,4,4,0,0,,3,2,616
CH_E_T1_HS_HPSC0113B_B,24-Apr-23,100,99.7,0.42,2841.26,253.53,100,100,6.29,-116.07,0,99.07,100,,100,1.33,0.89,2.7701,0.7,48.33,,,169,169,11342,11449,0,2,15,15,0,0,,17,7,471
,25-Apr-23,100,99.41,0.96,10099.03,284.72,100,,9.3,-116.21,0,100,100,,100,0.2,0.09,5.5883,0.44,20.79,,,1,1,81,81,0,3,26,26,0,0,,36,2,312
,26-Apr-23,100,100,0,3577.8,411.25,100,100,6.94,-114.72,0,100,100,,100,0.46,0.05,2.4151,0.72,26.9,,,36,36,7396,7396,0,0,14,14,0,0,,18,4,644
,27-Apr-23,100,99.35,0,3161.54,126.32,,,6.03,-115.15,0,98.94,100,,100,0.62,0.12,1.7876,0.75,17.67,,,0,0,8742,8836,0,0,39,39,0,0,,35,14,425
,28-Apr-23,100,99.37,0,2669.93,198.56,,,5.71,-113.72,0,98.8,100,,100,0.02,0,2.127,0.85,33.13,,,0,0,6806,6889,0,0,21,21,0,0,,27,4,768
CH_E_T1_HS_HPSC0113C_C,24-Apr-23,100,99.79,0,8630.78,620.96,100,100,9.72,-117.35,0,100,100,,100,0.04,0.01,5.64,0.18,28.46,,,225,225,169,169,0,0,16,16,0,0,,17,1,930
,25-Apr-23,100,100,0,3420.54,411,100,100,7.34,-117.13,0,100,100,,100,0.42,8.37,6.7464,0.08,47.24,,,225,225,81,81,0,0,10,10,0,0,,9,3,710
,26-Apr-23,100,100,0,10876.1,300.94,100,100,10.05,-117.04,0,100,100,,100,0.42,0,5.6772,0.14,23.21,,,196,196,169,169,0,0,3,3,0,0,,6,2,567
,27-Apr-23,100,100,0,9516.24,407.66,100,,9.5,-115.77,,100,100,,100,0,0,4.858,0.1,22.99,,,121,121,324,324,0,0,15,15,0,0,,17,0,764
,28-Apr-23,100,99.71,0,11682.39,1083.62,100,,10.43,-115.89,0,100,100,,100,0.04,1.97,3.1958,0.12,17.07,,,289,289,25,25,0,0,2,2,0,0,,2,1,681
CH_E_T1_HS_HPSC0131A_A,24-Apr-23,99.81,99.16,0.46,1517.41,125.16,99.46,100,7.05,-116.92,0,97.78,100,100,50,0.86,0.3,18.6255,9.69,85.38,,,549077,552049,1980,2025,0,8,23,23,46,46,,2,18,1754
,25-Apr-23,99.59,99.68,0.27,2588.35,176.91,99.23,100,7.05,-115.47,0,91.53,100,100,100,0.53,0.43,14.015,9.9,65.33,,,417956,421201,3186,3481,0,3,54,54,40,40,,4,32,1111
,26-Apr-23,99.7,98.45,1.05,2458.82,103.44,98.11,100,7.37,-113.15,0,100,100,100,100,0.53,2.66,9.3622,5.07,64.96,,,464400,473344,1936,1936,0,11,48,48,44,44,,10,32,1050
,27-Apr-23,100,99.46,0.7,3069.04,153.47,97.17,100,7.17,-114.99,0,92.31,100,96.55,100,0.16,0.36,10.893,6.81,57.04,,,310200,319224,3900,4225,0,10,52,52,28,29,,2,45,1429
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_E_T1_HS_HPSC0131B_B,24-Apr-23,99.49,96.45,1.24,4681.27,359.5,99.5,100,8.65,-117.42,0,94.44,100,100,100,0.61,0.45,13.5071,4.98,45.64,,,39402,39601,323,342,0,12,43,43,30,30,,2,34,971
,25-Apr-23,99.68,99.42,0.42,3823.23,434.95,97.55,100,8.62,-117.12,0,100,100,100,100,0.19,0.65,9.7647,5.58,31.56,,,274527,281430,729,729,0,4,42,42,26,26,,2,24,946
,26-Apr-23,100,99.01,0.59,2101.82,73.7,96.09,100,8.12,-115.54,0,93.02,100,100,,0.19,0.16,7.2314,5.65,65.93,,,63960,66560,1720,1849,0,7,9,9,14,14,,0,5,1181
,27-Apr-23,99.86,99.58,0.09,4565.09,134.46,98.62,100,8.26,-116.62,0,96,100,100,,0.1,0.25,9.586,5.24,52.87,,,521259,528529,2400,2500,0,1,37,37,24,24,,0,21,1055
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_E_T1_HS_HPSC0131C_C,24-Apr-23,99.28,99.86,0.14,6210.77,97.65,99.32,100,9.38,-116.52,0,100,100,100,100,0.07,0.86,10.0098,2.66,33.12,,,21462,21609,361,361,0,1,14,14,6,6,,1,8,696
,25-Apr-23,100,99.5,0.37,7764.31,110.1,99.21,100,9.47,-116.59,0,100,100,100,100,0.1,0.13,9.5036,3.92,24.71,,,16002,16129,1296,1296,0,3,19,19,8,8,,5,10,809
,26-Apr-23,99.78,99.87,0.37,9101.35,122.04,98.62,100,9.42,-114.83,0,95.92,100,100,100,0.13,1.43,6.3659,2.36,28.63,,,46870,47524,2303,2401,0,3,24,24,9,9,,6,17,821
,27-Apr-23,100,99.6,0.37,12100.42,132.41,94.97,100,9.97,-114.95,0,97.5,100,100,100,0.09,0.14,5.6738,1.24,15.2,,,5850,6160,6084,6240,0,2,23,23,2,2,,2,21,538
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
