"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"27 Feb 23","404-96-902936-3",9.16,100.00,100.00,0.00,,,8.27,100.00,97.66,0.00,0.00,22.18,100.00,0.00,0.02,0.07,,15.58,,,0.00,-119.38,1.9854,2.38,,,0.00,2.00,3.58,21.00,21.00,334.00,342.00,10.00,27.00,,
"HR_E_T1_OM_DDKH46C_C","23 Feb 23","404-96-234546-63",60.08,99.92,99.69,0.08,387.24,8851.49,10.66,97.36,99.61,100.00,0.00,52.88,100.00,0.00,0.04,0.33,,11.97,100.00,96.00,0.00,-103.96,49.3641,7.01,,,0.00,96.00,56.26,775.00,796.00,253.00,254.00,43.00,254.00,,
,"24 Feb 23","404-96-234546-63",59.63,99.64,99.60,0.15,494.39,10985.57,10.62,98.02,100.00,0.00,0.00,45.65,100.00,0.00,0.04,0.33,,10.66,100.00,100.00,0.00,-104.63,50.3814,6.61,,,0.00,100.00,49.79,741.00,756.00,257.00,257.00,47.00,234.00,,
,"25 Feb 23","404-96-234546-63",39.45,99.88,99.61,0.18,356.35,5912.90,10.06,97.45,100.00,0.00,0.00,69.07,100.00,0.00,0.10,0.11,,5.32,100.00,100.00,0.00,-106.57,53.8911,7.19,,,0.00,91.00,41.27,687.00,705.00,410.00,410.00,210.00,146.00,,
,"26 Feb 23","404-96-234546-63",39.08,100.00,99.92,0.31,649.29,2626.53,9.36,98.80,99.77,100.00,0.00,84.02,100.00,0.00,0.01,1.43,,3.50,100.00,100.00,0.00,-106.44,59.5647,6.31,,,0.00,97.00,50.46,820.00,830.00,433.00,434.00,9.00,1344.00,,
,"27 Feb 23","404-96-234546-63",,99.73,99.70,0.03,,,10.42,98.79,100.00,100.00,0.00,56.37,100.00,0.00,0.35,4.42,,11.48,96.55,100.00,0.00,-103.78,30.1557,8.21,,,0.00,97.00,52.03,736.00,745.00,255.00,255.00,232.00,3121.00,,
"HR_E_T1_OM_KST479B_B","23 Feb 23","404-96-801479-62",0.05,99.80,100.00,0.06,446.69,5688.14,10.15,99.04,97.72,0.00,0.00,69.26,100.00,0.00,0.09,0.00,,11.95,,100.00,0.00,-106.60,60.1595,0.51,,,0.00,100.00,52.07,207.00,209.00,1028.00,1052.00,3.00,0.00,,
,"24 Feb 23","404-96-801479-62",0.22,99.77,100.00,0.16,486.43,16721.24,11.44,98.99,89.85,0.00,0.00,35.25,100.00,0.00,0.12,2.55,,-0.70,100.00,100.00,0.00,-106.87,55.3202,0.50,,,0.00,113.00,48.66,98.00,99.00,779.00,867.00,5.00,22.00,,
,"25 Feb 23","404-96-801479-62",0.30,99.45,99.85,0.06,449.84,11424.81,10.68,97.80,95.86,0.00,0.00,55.87,100.00,0.00,1.63,9.25,,0.60,,100.00,0.00,-108.08,67.4442,0.49,,,0.00,92.00,36.95,178.00,182.00,671.00,700.00,79.00,99.00,,
,"26 Feb 23","404-96-801479-62",0.06,99.82,100.00,0.15,555.29,11188.74,10.57,99.48,96.94,0.00,0.00,60.81,100.00,0.00,0.38,3.12,,-1.41,,100.00,0.00,-108.36,70.1875,0.50,,,0.00,84.00,40.95,190.00,191.00,539.00,556.00,12.00,17.00,,
