"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"19 Feb 23","404-96-902936-3",11.48,100.00,98.26,0.00,4074.74,12491.23,9.19,98.36,60.26,0.00,0.00,19.06,100.00,0.00,0.02,0.83,,9.87,95.65,100.00,0.00,-119.07,10.7175,4.66,,,0.00,23.00,14.64,60.00,61.00,47.00,78.00,39.00,1274.00,,
"HR_E_T1_OM_DDKH46C_C","15 Feb 23","404-96-234546-63",58.76,99.86,99.88,0.06,403.86,7664.71,10.44,96.80,99.49,100.00,0.00,64.07,100.00,0.00,0.12,0.76,,10.01,100.00,100.00,0.00,-105.84,70.9937,13.97,,,0.00,179.00,67.00,1028.00,1062.00,787.00,791.00,232.00,942.00,,
,"16 Feb 23","404-96-234546-63",47.68,99.89,99.88,0.02,441.69,2888.42,9.57,97.54,99.06,100.00,0.00,83.16,100.00,0.00,0.08,1.55,,8.87,92.31,100.00,0.00,-114.74,89.8283,15.15,,,0.00,199.00,52.29,675.00,692.00,635.00,641.00,222.00,2979.00,,
,"17 Feb 23","404-96-234546-63",51.54,99.90,99.96,0.04,568.92,5959.30,10.13,97.76,100.00,100.00,0.00,65.80,100.00,0.00,0.20,0.28,,13.88,98.11,100.00,0.00,-112.30,84.3799,12.02,,,0.00,175.00,49.18,1003.00,1026.00,604.00,604.00,320.00,274.00,,
,"18 Feb 23","404-96-234546-63",55.77,99.84,99.41,0.27,371.99,13588.73,10.42,97.55,99.82,100.00,0.00,40.70,100.00,0.00,0.20,0.74,,5.07,100.00,100.00,0.00,-102.49,54.3484,6.15,,,0.00,88.00,45.01,637.00,653.00,555.00,556.00,156.00,374.00,,
,"19 Feb 23","404-96-234546-63",56.78,99.79,100.00,0.14,879.44,6882.17,10.02,97.78,99.18,100.00,0.00,48.09,100.00,0.00,0.09,3.35,,5.24,100.00,100.00,0.00,-103.77,48.4444,6.22,,,0.00,94.00,55.78,706.00,722.00,485.00,489.00,95.00,2641.00,,
"HR_E_T1_OM_KST479B_B","15 Feb 23","404-96-801479-62",0.12,99.91,99.91,0.00,555.24,10045.38,10.01,98.67,99.72,100.00,0.00,59.63,100.00,0.00,0.42,0.29,,-0.48,100.00,100.00,0.00,-109.61,59.2822,0.73,,,0.00,154.00,42.55,371.00,376.00,701.00,703.00,21.00,4.00,,
,"16 Feb 23","404-96-801479-62",0.00,99.96,99.91,0.19,512.76,6967.39,10.16,100.00,99.89,0.00,0.00,66.14,100.00,0.00,1.05,0.21,,12.65,100.00,100.00,0.00,-113.83,73.0129,0.74,,,0.00,178.00,45.23,115.00,115.00,879.00,880.00,74.00,4.00,,
,"17 Feb 23","404-96-801479-62",0.06,99.97,99.94,0.02,580.11,5879.58,10.09,98.03,100.00,0.00,0.00,73.09,99.07,0.00,0.19,10.89,,-1.93,100.00,100.00,0.00,-111.99,70.9904,0.80,,,0.00,107.00,50.20,149.00,152.00,858.00,858.00,15.00,112.00,,
,"18 Feb 23","404-96-801479-62",0.03,100.00,100.00,0.06,802.83,6176.87,9.58,99.40,99.88,0.00,0.00,60.28,100.00,0.00,0.01,1.26,,-0.54,100.00,100.00,0.00,-106.65,54.4570,0.60,,,0.00,116.00,42.23,332.00,334.00,814.00,815.00,1.00,48.00,,
,"19 Feb 23","404-96-801479-62",0.07,99.86,99.93,0.06,474.42,12854.51,9.97,98.96,99.84,100.00,0.00,56.02,100.00,14.29,0.00,1.65,,-1.46,,97.26,0.00,-105.12,48.0742,0.47,,,0.00,76.00,25.82,191.00,193.00,614.00,615.00,0.00,14.00,,
"HR_E_T2_OM_DDKH46C_C","15 Feb 23","404-96-234546-3",49.20,99.85,99.68,0.56,292.30,6858.58,10.08,92.04,98.17,0.00,0.00,59.71,100.00,0.00,0.30,4.91,,1.22,75.00,99.60,0.00,-108.38,57.0839,1.14,,,0.00,211.00,51.48,520.00,565.00,1070.00,1090.00,28.00,154.00,,
,"16 Feb 23","404-96-234546-3",57.95,99.80,99.84,0.19,643.83,3173.82,9.49,91.00,99.75,100.00,0.00,77.71,100.00,0.00,1.28,4.80,,7.11,100.00,100.00,0.00,-114.96,66.6408,1.07,,,0.00,211.00,58.26,657.00,722.00,1175.00,1178.00,122.00,161.00,,
,"17 Feb 23","404-96-234546-3",41.52,99.84,99.67,0.33,471.88,7769.50,9.71,94.22,99.28,0.00,0.00,58.50,100.00,0.00,0.07,6.09,,7.47,100.00,100.00,0.00,-112.62,64.0994,1.04,,,0.00,158.00,46.95,212.00,225.00,687.00,692.00,11.00,496.00,,
,"18 Feb 23","404-96-234546-3",54.92,99.92,99.71,0.10,464.20,7573.38,9.98,93.69,99.25,100.00,0.00,59.62,100.00,0.00,0.11,2.04,,4.61,100.00,100.00,0.00,-104.15,69.5031,0.67,,,0.00,130.00,47.66,742.00,792.00,932.00,939.00,6.00,36.00,,
,"19 Feb 23","404-96-234546-3",48.81,99.79,99.77,0.12,482.37,6896.24,9.43,95.37,99.46,0.00,0.00,50.98,100.00,0.00,0.61,6.06,,2.56,100.00,100.00,0.00,-105.01,60.0264,0.68,,,0.00,144.00,41.57,598.00,627.00,730.00,734.00,34.00,97.00,,
"HR_E_T2_OM_KST479B_B","15 Feb 23","404-96-801479-2",0.14,100.00,99.92,0.19,863.20,8669.22,9.06,100.00,99.91,100.00,0.00,51.54,99.35,0.00,0.36,0.06,,13.36,100.00,100.00,0.00,-108.87,43.7373,0.92,,,0.00,160.00,30.05,323.00,323.00,1129.00,1130.00,40.00,2.00,,
,"16 Feb 23","404-96-801479-2",0.00,99.94,99.80,0.16,580.16,8276.09,9.87,99.31,99.69,100.00,0.00,56.81,100.00,0.00,0.55,0.56,,12.75,100.00,100.00,0.00,-112.04,59.4994,0.83,,,0.00,162.00,29.52,144.00,145.00,951.00,954.00,75.00,34.00,,
,"17 Feb 23","404-96-801479-2",0.16,99.78,100.00,0.21,1529.01,15942.37,9.52,97.44,99.35,0.00,0.00,70.75,100.00,0.00,1.32,0.98,,11.92,100.00,100.00,0.00,-110.92,60.1325,1.08,,,0.00,158.00,36.20,190.00,195.00,1065.00,1072.00,353.00,130.00,,
,"18 Feb 23","404-96-801479-2",2.17,99.03,100.00,0.22,774.53,17597.61,11.89,100.00,96.04,0.00,0.00,37.73,100.00,0.00,0.79,0.74,,12.38,100.00,100.00,0.00,-104.96,47.0755,0.55,,,0.00,89.00,14.72,72.00,72.00,97.00,101.00,74.00,18.00,,
,"19 Feb 23","404-96-801479-2",0.08,99.78,100.00,0.00,3254.38,22153.74,11.66,100.00,99.32,0.00,0.00,31.49,100.00,0.00,0.04,1.84,,13.85,100.00,100.00,0.00,-102.71,45.2629,0.39,,,0.00,61.00,50.13,29.00,29.00,145.00,146.00,2.00,42.00,,
"HR_ZQ_F1_OM_GHNA26A_A","15 Feb 23","404-96-245626-31",0.00,100.00,99.94,0.00,1763.16,18129.94,10.13,99.34,98.83,0.00,0.00,29.35,100.00,0.00,0.01,0.02,,14.23,100.00,99.30,0.00,-118.52,42.8606,50.10,,,0.00,227.00,8.55,151.00,152.00,1262.00,1277.00,63.00,110.00,,
,"16 Feb 23","404-96-245626-31",0.10,100.00,100.00,0.00,1645.16,18517.95,10.32,99.72,99.65,100.00,0.00,27.49,100.00,0.00,0.01,0.02,,14.03,100.00,99.51,0.00,-118.35,36.1617,55.37,,,0.00,238.00,10.60,359.00,360.00,1438.00,1443.00,45.00,148.00,,
,"17 Feb 23","404-96-245626-31",0.00,100.00,100.00,0.02,2442.38,23079.47,11.03,100.00,99.87,100.00,0.00,21.77,100.00,0.00,0.01,0.02,,13.81,100.00,99.19,0.00,-118.35,40.3532,40.43,,,0.00,163.00,9.86,123.00,123.00,740.00,741.00,37.00,84.00,,
,"18 Feb 23","404-96-245626-31",0.00,100.00,99.90,0.04,1068.99,14991.15,10.50,100.00,96.23,100.00,0.00,30.34,100.00,0.00,0.02,0.02,,12.95,100.00,99.12,0.00,-118.40,36.1838,38.57,,,0.00,188.00,8.33,140.00,140.00,995.00,1034.00,81.00,85.00,,
,"19 Feb 23","404-96-245626-31",0.00,100.00,100.00,0.00,2148.23,20750.50,10.65,100.00,99.74,100.00,0.00,30.00,100.00,0.00,0.00,0.03,,14.34,100.00,99.29,0.00,-118.43,43.6681,44.97,,,0.00,360.00,12.24,484.00,484.00,1893.00,1898.00,6.00,149.00,,
"HR_ZQ_F1_OM_GHNA26B_B","15 Feb 23","404-96-245626-32",0.37,100.00,100.00,0.05,1189.43,11132.60,10.57,100.00,98.59,100.00,0.00,35.91,100.00,0.00,0.03,0.03,,13.43,100.00,100.00,0.00,-118.53,45.2045,30.32,,,0.00,127.00,11.49,162.00,162.00,1464.00,1485.00,168.00,137.00,,
,"16 Feb 23","404-96-245626-32",0.14,100.00,99.96,0.00,1195.48,18223.71,10.68,100.00,97.13,100.00,0.00,36.27,100.00,0.00,0.01,0.02,,12.87,100.00,100.00,0.00,-118.38,43.0571,30.90,,,0.00,146.00,10.70,166.00,166.00,1050.00,1081.00,33.00,79.00,,
,"17 Feb 23","404-96-245626-32",0.29,100.00,99.98,0.00,1897.11,13784.04,10.78,100.00,98.09,0.00,0.00,40.55,100.00,0.89,0.07,0.05,,13.51,99.29,100.00,0.00,-118.36,45.4479,28.08,,,0.00,109.00,11.34,161.00,161.00,1389.00,1416.00,294.00,155.00,,
,"18 Feb 23","404-96-245626-32",0.50,100.00,100.00,0.00,3761.73,24454.10,11.63,100.00,99.91,0.00,0.00,23.42,100.00,0.00,0.01,0.02,,14.14,100.00,100.00,0.00,-118.24,49.8573,29.59,,,0.00,90.00,13.92,125.00,125.00,1138.00,1139.00,29.00,56.00,,
,"19 Feb 23","404-96-245626-32",0.23,99.96,100.00,0.00,1705.31,16157.79,10.74,98.70,99.83,0.00,0.00,31.44,100.00,0.00,0.02,0.03,,12.93,100.00,100.00,0.00,-118.19,43.8979,30.23,,,0.00,130.00,10.09,76.00,77.00,1150.00,1152.00,128.00,124.00,,
"HR_ZQ_F1_OM_GHNA26C_C","15 Feb 23","404-96-245626-33",0.28,100.00,99.76,1.12,1036.03,8362.96,8.75,100.00,96.12,100.00,0.00,37.98,100.00,0.00,0.00,0.06,,11.89,100.00,98.71,0.00,-117.39,28.3734,42.26,,,0.00,100.00,11.23,132.00,132.00,1114.00,1159.00,25.00,253.00,,
,"16 Feb 23","404-96-245626-33",1.73,100.00,99.90,0.00,719.61,14666.70,9.13,100.00,99.36,100.00,0.00,32.23,100.00,0.00,0.01,0.05,,10.94,98.92,98.64,0.00,-117.28,29.4656,44.27,,,0.00,201.00,8.74,98.00,98.00,1084.00,1091.00,49.00,200.00,,
,"17 Feb 23","404-96-245626-33",1.60,99.95,100.00,0.06,850.04,11279.19,9.07,100.00,99.44,100.00,0.00,33.51,100.00,0.00,0.02,0.04,,12.53,98.98,100.00,0.00,-117.29,28.6466,36.20,,,0.00,120.00,10.58,120.00,120.00,1242.00,1249.00,96.00,140.00,,
,"18 Feb 23","404-96-245626-33",1.79,100.00,99.96,0.03,1210.61,10998.41,8.96,100.00,98.23,100.00,0.00,34.40,100.00,0.00,0.04,0.20,,11.70,100.00,100.00,0.00,-117.22,32.0871,37.35,,,0.00,111.00,10.61,271.00,271.00,1662.00,1692.00,168.00,625.00,,
